delta,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
0.01,opt,0.4308916061595781,0.43089160615957833,0.0,0.4308916061595781,0.43089160615957833,-5.192082930990746e-16,25.2,1.0,1.7865406036376954
0.01,original,0.4309058237332364,0.20278515051389912,0.5295342220567262,0.4308916061594769,0.25813245723873424,0.4009398833902207,25.2,8556024.2,3600.8458025455475
0.02,opt,0.45236846066032105,0.4523684572655096,0.0,0.45236846066032105,0.4523684572655096,7.145982318698683e-09,22.4,0.8,1.0800260543823241
0.02,original,0.45245616213556994,0.22432549473999758,0.5048262369093568,0.45236846909207645,0.2781042403441547,0.38563460305515274,22.2,7952371.2,3600.1803147315977
0.05,opt,0.4577083190840086,0.37752312521484077,0.1794441826533343,0.4577083190840086,0.4577083189226121,3.5847345015922944e-10,20.2,6203.0,166.04455828666687
0.05,original,0.45770831908395204,0.22023180299120332,0.5194001864900668,0.45770831908395204,0.27303813051798714,0.40379542313469263,20.2,5327534.4,3600.142255306244
0.1,opt,0.47189003906799176,0.36994201246616304,0.21747523603897298,0.47189003789216316,0.47189002619386117,2.5123256861147737e-08,17.4,8896.8,111.8154806137085
0.1,original,0.47189080211532514,0.22639459041691407,0.5205303041096271,0.4718900390797107,0.2745147581534505,0.4184517434264938,17.4,3004006.6,3600.0140499591826
0.2,opt,0.46000605303828374,0.2698582422127639,0.4143013202754565,0.46000605261341077,0.46000604540652984,1.587346105523757e-08,21.2,15604.4,459.592523431778
0.2,original,0.46000605303785524,0.21321040614649212,0.5367561903249399,0.46000605303785524,0.2634738657642749,0.42741908089896175,21.2,2144167.0,3600.016165161133
0.5,opt,0.46482382922668447,0.22487312995362346,0.516395263782141,0.46482382699038627,0.4648207861081099,6.554289743434555e-06,16.8,20941.8,691.3785210609436
0.5,original,0.4648238292265792,0.21320900272868912,0.5414787583629199,0.4648238292265792,0.26071251196471873,0.43924407100260654,16.8,1383747.2,3600.02023563385
