n,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,opt,inf,-inf,,0.28878467733616775,0.2887831613696427,4.782226301941256e-06,16.7,1.0,0.07213060855865473
100,original,0.2939669157416561,0.12028598405311566,0.5908590499055835,0.288784677336106,0.25038129004879484,0.13189287258137894,16.7,19939440.1,600.0048858404159
200,opt,inf,-inf,0.0003792711976026,0.31283049100883104,0.3128304910088314,-1.346910868232063e-15,24.6,1.0,0.10755238533020013
200,original,0.3150886307226483,0.11938829362264584,0.6216140855965956,0.3128304946693151,0.19765323569973944,0.3678547049883637,24.6,12222982.3,600.0037552833558
300,opt,inf,-inf,0.00549562828241365,0.33964156811126134,0.33963901434511096,6.668959054269416e-06,32.3,1.0,0.11227595806121822
300,original,0.3407319798767723,0.14143996604391393,0.5876666499999655,0.3396415681112167,0.19573586914317537,0.4268939654884389,32.3,8957234.3,600.0041143178939
500,opt,inf,-inf,,0.36433468097801813,0.3643346710522498,3.0364385257710436e-08,44.0,1.0,0.13887741565704342
500,original,0.36504086224922305,0.15924122221116815,0.56923317116888,0.3643346822049149,0.19353666512625406,0.47499449796868587,43.9,5828056.6,600.0039660930634
1000,opt,inf,-inf,0.0001600170246591,0.40071892382178487,0.4007189238217833,4.490433749857057e-15,72.6,1.0,0.243870997428894
1000,original,0.4012051705328978,0.16819843326786482,0.5910524330948533,0.40071892498329076,0.18684140129403093,0.5448705825369861,72.5,2598709.8,600.005731344223
2000,opt,inf,-inf,,0.4146886025388324,0.4146823948035677,1.4650186035292774e-05,111.9,0.8,0.38633732795715325
2000,original,0.414987677566538,0.2117164349617174,0.5071244276621816,0.41459787318192004,0.2207927567677038,0.4856272989904554,111.6,1191785.4,600.0052726268768
5000,opt,inf,-inf,0.0001155578440859,0.4303251308300343,0.4303196013791656,1.5029708313691947e-05,220.6,1.0,1.0896878004074098
5000,original,0.43061976439032296,0.2355776156667718,0.4783301802908012,0.4303235790309284,0.2387747415530863,0.4710643981786742,220.4,340303.6,600.0104136943817
10000,opt,inf,-inf,,0.44019338972406813,0.44018252924017276,2.844749595947584e-05,386.2,1.0,2.0929548025131224
10000,original,0.44043440858274,0.272313196188404,0.4118626328131012,0.44019339161737747,0.2736986666066947,0.40873665744010135,386.0,139642.6,600.014409661293
