tau,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
0.01,opt,1e+100,0.07715965345731539,1.0,0.13300606130791523,0.12590303491861238,0.05336755522747746,217.4,1646377.0,3600.30074801445
0.01,original,0.13926519016689717,0.02816048054510504,0.7981377299360425,0.1330607498581158,0.044748084202387114,0.6639276587607758,218.6,7507499.0,3600.1846243858336
0.02,opt,2e+99,0.17368200006432521,0.27564078164656813,0.21242260963938647,0.20913922249382627,0.015564027693900856,145.0,6185926.8,3019.8906474113464
0.02,original,0.2220994533841166,0.0538109606866945,0.7580305229264875,0.21242368899207156,0.077449154233619,0.6355765130894757,145.2,10060649.8,3601.6430607795714
0.05,opt,0.3402027275518003,0.33861565116046843,0.004547983893935259,0.3402027274887076,0.34020273035753235,-8.52243099917984e-09,65.2,148.8,2.490849828720093
0.05,original,0.3414137369303202,0.12112627114449388,0.6455956551189025,0.3402027351705161,0.156266605237456,0.5408794255280746,64.8,8012889.2,3600.4834157943724
0.08,opt,0.405139334057483,0.4051393340574826,0.0,0.405139334057483,0.4051393340574826,8.880356301091006e-16,35.4,1.0,0.20182018280029293
0.08,original,0.405462130726619,0.17200734267481113,0.5761503709957905,0.40513933735188135,0.22174261385322494,0.4528898361571193,35.0,10523945.4,3600.0065381526947
0.12,opt,0.45066337664184386,0.45066337664184425,0.0,0.45066337664184386,0.45066337664184425,-9.350861921094837e-16,20.0,0.8,1.1986853599548337
0.12,original,0.4506633766418264,0.22911186492568972,0.49158999825166916,0.4506633766418264,0.29174549239077247,0.35243393556363894,20.0,9643880.8,3601.2226403713225
