n,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,opt,0.21455086066259463,0.21428333407436223,0.00101275664835398,0.21455086066259463,0.21454991882939617,4.266550879875236e-06,13.6,8.0,0.08428020477294917
100,original,0.21844666215093284,0.17014390609833807,0.1946797917802947,0.21455086066253956,0.21455086066253948,3.945032869729065e-16,13.6,25595.2,0.6978103637695312
200,opt,0.2856269855920958,0.2802293996247691,0.01831645224156492,0.28536873757523246,0.2853687026042111,1.3293640889753545e-07,27.2,151.6,0.1649281501770019
200,original,0.287937116383732,0.1203402744852345,0.5826538319838482,0.2853687405836488,0.20194090755403177,0.291523963880216,26.8,48282010.0,3600.092420530319
300,opt,0.3223892973564584,0.3182792093247885,0.01238863257577664,0.32238928272169665,0.32238914363990595,4.96933968097716e-07,42.2,126.8,0.18484334945678707
300,original,0.32333810698026694,0.12793509518122642,0.605537440769927,0.32238931739483667,0.18631549855429733,0.42185369873601963,41.4,24356212.8,3600.1170345783235
500,opt,0.3555620924528233,0.3536775612224531,0.00521692839562952,0.3555620924528534,0.35556209245282255,8.352017177802166e-14,58.6,84.8,0.427949333190918
500,original,0.3579682008006239,0.1304867154300339,0.6358274900784794,0.355562115184854,0.1701940595301677,0.521536564717425,58.4,10426955.4,3600.0061682224273
800,opt,0.37592325248649744,0.37550529613502004,0.0010945266812608999,0.37592325248649744,0.37591506917077877,2.2016959604484786e-05,80.8,17.6,3.0976380348205566
800,original,0.3770661357010212,0.14274121037445128,0.6214236322175948,0.3759232588138689,0.16207246454938126,0.5688468152048818,80.4,2639442.0,3600.0088200092314
1000,opt,4e+99,0.3093336336659219,0.4,0.3974826758591413,0.397474851298273,1.9570801758756517e-05,99.4,1905.0,429.63183121681215
1000,original,0.398511746927915,0.14238179430043785,0.6424544424135409,0.39751950917048295,0.15606871920541715,0.6071248467123891,99.8,1207134.8,3600.0193396091463
