n,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,Active (%),node_count,time
100,opt,0.2879143910462402,0.2879143910462403,0.0,0.2879143910462402,0.2879143910462403,-2.4048913772768857e-16,10.8,0.2,0.01952800750732418
100,original,0.31769908495826255,0.2688201759472733,0.13994462998691876,0.2879145043747967,0.28790919495984824,1.8459900720827853e-05,10.8,1282.8,0.3412930965423584
100,tree,0.2879143910462116,,0.0,0.2879143910462116,,,10.8,0.0,0.06714038848876948
200,opt,0.31097851497128476,0.31097851497128476,0.0,0.31097851497128476,0.31097851497128476,2.4865118122372087e-17,8.3,0.4,0.0398946046829223
200,original,0.3119370719205042,0.30451909202604677,0.02372281882386214,0.3109785315454433,0.31097750484305686,3.2937688802834192e-06,8.3,1065.6,0.536526894569397
200,tree,0.31097851497096735,,0.0,0.31097851497096735,,,8.3,0.0,0.13377633094787597
300,opt,0.3360627763832079,0.3360627763832079,0.0,0.3360627763832079,0.3360627763832079,0.0,9.0,0.0,0.05060896873474117
300,original,0.3457411856110378,0.3301340633077521,0.044993700948982765,0.3360628477806843,0.33605767923121294,1.5304738315342933e-05,9.0,730.0,0.7084967851638794
300,tree,0.336062776383208,,0.0,0.336062776383208,,,9.0,0.0,0.23682103157043458
500,opt,0.36695071979307325,0.36695071979307325,0.0,0.36695071979307325,0.36695071979307325,-3.076030169146959e-17,9.32,0.0,0.08482093811035153
500,original,0.3688365148371783,0.3628328624320495,0.01601528281219016,0.36695072656530836,0.3669351488572731,4.280401669307657e-05,9.32,7542.0,3.049334931373596
500,tree,0.36695071979307337,,0.0,0.36695071979307337,,,9.32,0.0,0.5334178447723389
1000,opt,0.39510510689232675,0.3951049804637173,0.0,0.39510510689232675,0.3951049804637173,3.14013298185698e-07,8.620000000000001,0.2,0.1928125143051147
1000,original,0.4087945833105172,0.3931292422669599,0.03773182318691306,0.39510516767099013,0.3950684902863135,9.289885886983085e-05,8.6,8063.8,6.572535300254822
1000,tree,0.39510510689232675,,0.0,0.39510510689232675,,,8.620000000000001,0.0,1.8849944114685058
2000,opt,0.4150203088467327,0.4150203088467327,0.0,0.4150203088467327,0.4150203088467327,0.0,7.470000000000001,0.0,0.39957690238952637
2000,original,0.4189363388669668,0.4130371157221825,0.01401531069207084,0.41502031318792454,0.4147200669269985,0.0007204595756444816,7.470000000000001,307635.8,11.081379453341166
2000,tree,0.4150203088467328,,0.0,0.4150203088467328,,,7.470000000000001,0.0,7.95005235671997
5000,opt,0.43839335421466374,0.4383933542146514,0.0,0.43839335421466374,0.4383933542146514,2.816316953274253e-14,6.220000000000001,1.0,1.9081429958343505
5000,original,0.44054375181442973,0.4380100436775159,0.00573717217610876,0.43839355252397044,0.4383642851896541,6.675370950365239e-05,6.220000000000001,1178.8,41.933265352249144
5000,tree,0.4383933542146636,,0.0,0.4383933542146636,,,6.220000000000001,0.0,42.92612519264221
10000,opt,0.44781209822858103,0.4477936686221451,4.1255770450859995e-05,0.44781209878117567,0.4478120877197937,2.465836922428808e-08,5.476000000000001,1.8,7.314300394058227
10000,original,0.44996907775523615,0.44753650305307546,0.0053792407362719,0.4478126352436078,0.44773548938732227,0.00017242117372183306,5.478,16959.7,600.3831046521664
10000,tree,0.447812098751064,,0.0,0.447812098751064,,,5.476000000000001,0.0,179.02704672813417
