n,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,opt,0.2879143910462402,0.2879143910462403,0.0,0.2879143910462402,0.2879143910462403,-2.4048913772768857e-16,10.8,0.2,0.0205588340759277
100,original,0.31769908495826255,0.2688201759472733,0.13994462998691876,0.2879145043747967,0.28790919495984824,1.8459900720827853e-05,10.8,1282.8,0.35094099044799804
200,opt,0.31097851497128476,0.31097851497128476,0.0,0.31097851497128476,0.31097851497128476,2.4865118122372087e-17,16.6,0.4,0.043675374984741167
200,original,0.3119370719205042,0.30451909202604677,0.02372281882386214,0.3109785315454433,0.31097750484305686,3.2937688802834192e-06,16.6,1065.6,0.563578987121582
300,opt,0.3360627763832079,0.3360627763832079,0.0,0.3360627763832079,0.3360627763832079,0.0,27.0,0.0,0.05391635894775386
300,original,0.3457411856110378,0.3301340633077521,0.044993700948982765,0.3360628477806843,0.33605767923121294,1.5304738315342933e-05,27.0,730.0,0.738323974609375
500,opt,0.36695071979307325,0.36695071979307325,0.0,0.36695071979307325,0.36695071979307325,-3.076030169146959e-17,46.6,0.0,0.08825502395629879
500,original,0.3688365148371783,0.3628328624320495,0.01601528281219016,0.36695072656530836,0.3669351488572731,4.280401669307657e-05,46.6,7542.0,3.1982656002044676
1000,opt,0.39510510689232675,0.3951049804637173,0.0,0.39510510689232675,0.3951049804637173,3.14013298185698e-07,86.2,0.2,0.20108704566955565
1000,original,0.4087945833105172,0.3931292422669599,0.03773182318691306,0.39510516767099013,0.3950684902863135,9.289885886983085e-05,86.0,8063.8,6.902314615249634
2000,opt,0.4150203088467327,0.4150203088467327,0.0,0.4150203088467327,0.4150203088467327,0.0,149.4,0.0,0.3800189971923828
2000,original,0.4189363388669668,0.4130371157221825,0.01401531069207084,0.41502031318792454,0.4147205606315394,0.0007192631408018017,149.4,329187.2,11.33245062828064
5000,opt,0.43839335421466374,0.4383933542146514,0.0,0.43839335421466374,0.4383933542146514,2.816316953274253e-14,311.0,1.0,1.861018180847168
5000,original,0.44054375181442973,0.4380100436775159,0.00573717217610876,0.43839355252397044,0.4383642851896541,6.675370950365239e-05,311.0,1178.8,41.1045937538147
10000,opt,0.44781209822858103,0.4477936686221451,4.1255770450859995e-05,0.44781209878117567,0.4478120877197937,2.465836922428808e-08,547.6,1.8,7.11180853843689
10000,original,0.44996907775523615,0.44753650305307546,0.0053792407362719,0.44781263524362647,0.44773560838266935,0.00017215532231250303,547.8,18729.2,600.6261405348778
