n,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,opt,0.277899444322783,0.2778994443227449,0.0,0.277899444322783,0.2778994443227449,1.3063457186597408e-13,15.0,1.0,0.05695500373840327
100,original,0.28195313506214187,0.11296961756155403,0.5985553453217187,0.2778994443227229,0.23597718377896001,0.1487920103311196,15.0,16235418.4,600.006277179718
100,tree,0.2778994443227229,,0.0,0.2778994443227229,,,15.0,0.0,0.10404167175292964
200,opt,0.28633054871448105,0.2863305487144563,0.0,0.28633054871448105,0.2863305487144563,8.261103658691569e-14,25.6,1.0,0.11597056388854976
200,original,0.2883425362190381,0.1082151194584366,0.62469964308668,0.286330548714414,0.17945046375811802,0.3729210687807749,25.6,7666071.4,600.0631424427032
200,tree,0.286330548714414,,0.0,0.286330548714414,,,25.6,0.0,0.15077352523803705
300,opt,0.31077470912220645,0.31077470912220645,0.0,0.31077470912220645,0.31077470912220645,-7.07263129714944e-17,38.6,1.0,0.1347269535064697
300,original,0.3120301899674979,0.12057166812313644,0.6140060037912822,0.31077470912243044,0.16545952541890369,0.4677098428716356,38.6,5665235.0,600.0038697719574
300,tree,0.310774709122161,,0.0,0.310774709122161,,,38.6,0.0,0.21459884643554683
500,opt,0.3259449064643018,0.32593569386358767,0.0,0.3259449064643018,0.32593569386358767,2.769289297679489e-05,58.8,1.0,0.15479583740234373
500,original,0.3276625376140799,0.12617327530970868,0.6147059051959773,0.325944908475727,0.15477344093521672,0.5249935477198562,58.8,3628495.8,600.0326676368713
500,tree,0.325944908475727,,0.0,0.325944908475727,,,58.8,0.0,0.3532533645629882
1000,opt,0.31991980787151186,0.319910995555981,0.0,0.31991980787151186,0.319910995555981,2.7616941024266388e-05,96.0,1.0,0.2823279857635498
1000,original,0.32031372088923915,0.11836581427444029,0.6302474346953888,0.3199198081352676,0.13268172221843963,0.5850562167591041,96.0,1846711.8,600.0067346096039
1000,tree,0.31991980813523435,,0.0,0.31991980813523435,,,96.0,0.0,0.731776237487793
2000,opt,0.34468152022828574,0.3446810917700587,0.0,0.34468152022828574,0.3446810917700587,1.2360869931678695e-06,191.0,1.0,0.5946182250976563
2000,original,0.34529898853767743,0.1292120349944276,0.6258982233688425,0.3446815345483979,0.13602814987145948,0.6054778440368185,190.2,881080.6,600.1713396072388
2000,tree,0.3446815345482862,,0.0,0.3446815345482862,,,190.2,0.0,1.5205770015716553
5000,opt,0.3594609025319312,0.3594519054000707,0.0,0.3594609025319312,0.3594519054000707,2.5087930095229908e-05,404.4,1.0,1.406790018081665
5000,original,0.3598691666224676,0.12661702996891294,0.6481365535479714,0.3594372063654214,0.1280647591759064,0.6436907260697564,403.6,258943.4,600.7369717121124
5000,tree,0.3594372063594228,,0.0,0.3594372063594228,,,403.6,0.0,3.8352174282073976
10000,opt,0.370860807235744,0.37084468137137766,0.0,0.370860807235744,0.37084468137137766,4.367189766491267e-05,731.25,1.0,2.700012445449829
10000,original,0.37117254693007756,0.1330169946464299,0.6415753294776663,0.37085250684888504,0.13344570528527644,0.6401110566880409,730.5,117797.0,600.4832426905632
10000,tree,0.3708508532948085,,0.0,0.3708508532948085,,,730.25,0.0,7.743323445320129
