n,sigma2,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,TPR,FPR,F1_score,nnz,node_count,time
100,0.01,0.5,104,original,121.68090884329217,118.6378875733009,0.025008206290686515,121.6809073755303,121.66904826357029,9.74607456156406e-05,0.8888888888888888,0.13414634146341464,0.7111111111111111,27,1.0,0.12958908081054688
100,0.01,0.5,104,opt,inf,-inf,,121.68090538439424,121.6809053800763,3.548576311019527e-11,0.8888888888888888,0.13414634146341464,0.7111111111111111,27,1.0,0.019238948822021484
100,0.02,0.5,104,original,97.90975619994765,96.46780880640992,0.014727310632793733,97.90975504662157,97.90094552194982,8.99759647805513e-05,0.6666666666666666,0.07317073170731707,0.6666666666666666,18,1.0,0.1295480728149414
100,0.02,0.5,104,opt,inf,-inf,,97.90975412287668,97.9097541228764,2.902847595218632e-15,0.6666666666666666,0.07317073170731707,0.6666666666666666,18,1.0,0.018474817276000977
100,0.05,0.5,104,original,124.18942152404368,124.16831589225148,0.00016994709801518537,124.18942137582238,124.18925943455369,1.303986015011199e-06,0.7777777777777778,0.04878048780487805,0.7777777777777778,18,3.0,0.36574316024780273
100,0.05,0.5,104,opt,inf,-inf,,124.18942133583194,124.18942133583185,6.865731990218299e-16,0.7777777777777778,0.04878048780487805,0.7777777777777778,18,1.0,0.01924896240234375
400,0.01,0.5,104,original,483.6756472657371,483.32553070620884,0.0007238664206219626,483.6756270186181,483.6539961911483,4.4721764466751343e-05,0.7708333333333334,0.09659090909090909,0.6218487394957983,71,40.0,1.0346190929412842
400,0.01,0.5,104,opt,inf,-inf,,483.67561328812417,483.67561328812803,-7.991621608245868e-15,0.7708333333333334,0.09659090909090909,0.6218487394957983,71,1.0,0.03971385955810547
400,0.02,0.5,104,original,480.56852378156657,480.20519758018713,0.0007560341208376344,480.56851091987187,480.5555599667091,2.6949233810559075e-05,0.7291666666666666,0.06818181818181818,0.6542056074766355,59,55.0,1.267806053161621
400,0.02,0.5,104,opt,inf,-inf,,480.56850271034796,480.5685027088674,3.080817155719776e-12,0.7291666666666666,0.06818181818181818,0.6542056074766355,59,1.0,0.043608903884887695
400,0.05,0.5,104,original,493.87478239831023,493.5740294959173,0.0006089659021107915,493.8747681831754,493.8472077322439,5.580453326840346e-05,0.625,0.05113636363636364,0.625,48,75.0,1.7510390281677246
400,0.05,0.5,104,opt,inf,-inf,,493.8747712249178,493.8747712249203,-5.064260366392578e-15,0.625,0.05113636363636364,0.625,48,1.0,0.0451810359954834
1600,0.01,0.5,104,original,1882.255078008784,1881.7826229802497,0.00025100478359933335,1882.2542234366415,1882.2336770170923,1.091585785456624e-05,0.8017241379310345,0.05390835579514825,0.643598615916955,173,358.0,5.458903074264526
1600,0.01,0.5,104,opt,inf,-inf,,1882.2541927967059,1882.2541927859347,5.722471382620601e-12,0.8017241379310345,0.05390835579514825,0.643598615916955,173,1.0,0.13361501693725586
1600,0.02,0.5,104,original,1894.7468562246336,1893.6258761741028,0.0005916252331271119,1894.7468562246263,1894.5987821636506,7.814978580869853e-05,0.6837606837606838,0.045178691840863115,0.6060606060606061,147,2543.0,8.681865930557251
1600,0.02,0.5,104,opt,inf,-inf,,1894.7468562246027,1894.7468562246156,-6.840121917968718e-15,0.6837606837606838,0.045178691840863115,0.6060606060606061,147,1.0,0.13836407661437988
1600,0.05,0.5,104,original,1816.4762566406514,1812.768856573601,0.002040984600540189,1816.4762566406505,1815.6832496227287,0.0004365633820000368,0.448,0.04677966101694915,0.448,125,3787608.0,3600.010591983795
1600,0.05,0.5,104,opt,inf,-inf,,1816.4762566406494,1816.4762566406766,-1.502075292943703e-14,0.448,0.04677966101694915,0.448,125,1.0,0.18432998657226562
