n,sigma2,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,TPR,FPR,nnz,node_count,time
100,0.05,0.1,105,original,80.44311954648003,80.41865914902722,0.00030407072215393185,80.44311871499248,80.43515778488806,9.896346923871217e-05,1.0,0.189873417721519,36,1.0,0.13864803314208984
100,0.05,0.1,105,opt,inf,-inf,,80.43582668722395,80.43582668722398,-3.5334639551753843e-16,0.9523809523809523,0.06329113924050633,25,1.0,0.02063894271850586
100,0.1,0.1,105,original,37.93466318133732,37.9293547000594,0.00013993748283847783,37.93466311763224,37.930975759610305,9.720286721674032e-05,0.9047619047619048,0.0759493670886076,25,1.0,0.17739391326904297
100,0.1,0.1,105,opt,inf,-inf,,37.93389340449942,37.93389340449946,-9.36553925777391e-16,0.9047619047619048,0.0759493670886076,25,1.0,0.012563943862915039
100,0.2,0.1,105,original,17.423476245728665,17.420772559336744,0.00015517491192862428,17.422224516709427,17.420772559336744,8.333937903802767e-05,0.8571428571428571,0.08860759493670886,25,1.0,0.21666502952575684
100,0.2,0.1,105,opt,inf,-inf,,17.422224370934362,17.422224370934334,1.6313479166196582e-15,0.8571428571428571,0.08860759493670886,25,1.0,0.029671907424926758
1600,0.05,0.1,105,original,227.67532140085524,227.6432339070759,0.0001409353178109037,227.67532140085524,227.653887747247,9.414131262162618e-05,0.9666666666666667,0.022972972972972974,150,1.0,4.978824853897095
1600,0.05,0.1,105,opt,inf,-inf,,227.6724306948393,227.67243069483905,1.123523757764467e-15,0.95,0.014864864864864866,136,1.0,0.14322805404663086
1600,0.1,0.1,105,original,109.60698249572839,109.59022137897084,0.00015292015504763407,109.60698249572889,109.59625203158092,9.789945771371611e-05,0.9083333333333333,0.01756756756756757,135,1.0,8.23013687133789
1600,0.1,0.1,105,opt,inf,-inf,,109.60698249573143,109.60698249573096,4.2785431632508395e-15,0.9083333333333333,0.01756756756756757,135,1.0,0.1674802303314209
1600,0.2,0.1,105,original,57.045469764622254,57.03118646303817,0.0002503845028013856,57.04491053428769,57.033819330768594,0.00019442932621354552,0.8666666666666667,0.06013513513513514,193,2718183.0,3600.0165469646454
1600,0.2,0.1,105,opt,inf,-inf,,57.044885080640746,57.04449315054707,6.8705562842868496e-06,0.8666666666666667,0.06013513513513514,193,1.0,0.2098701000213623
10000,0.05,0.1,105,original,1668.0244412960305,1666.8602781133807,0.0006979293311465716,1666.8681726475784,1666.8602781133807,4.7361479013447884e-06,0.969,0.017888888888888888,1130,1.0,276.1513068675995
10000,0.05,0.1,105,opt,inf,-inf,,1666.8681779383705,1666.8663154225023,1.1173744227937034e-06,0.969,0.017777777777777778,1129,0.0,1.5607149600982666
10000,0.1,0.1,105,original,791.3010585937081,791.0105432015343,0.0003671363623474772,791.013211255172,791.0105432015343,3.3729571133397893e-06,0.958,0.02011111111111111,1139,1.0,274.71734404563904
10000,0.2,0.1,105,original,380.8364847011551,380.7832617986719,0.00013975263563560439,380.8318134146605,380.7844609673174,0.00012433952646579026,0.927,0.10133333333333333,1839,268974.0,3600.7548608779907
10000,0.2,0.1,105,opt,inf,-inf,,380.83106774437533,380.8234115656018,2.0103871301421556e-05,0.929,0.10077777777777777,1836,1.0,1.175318956375122
