n,delta,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
500,0.01,0.1,0,original,0.43596337109640493,0.21993890563627455,0.49551058593947955,0.4358922832276078,0.2768767783501357,0.3648045881886827,28,8988709.0,3601.3750319480896
500,0.01,0.1,0,opt,inf,-inf,,0.43589228322802853,0.43589228322802853,0.0,28,1.0,1.0347931385040283
500,0.01,0.1,1,original,0.4250278847554137,0.16840035659596703,0.6037898626513067,0.42502788475541375,0.22845600311268988,0.4624917298210751,30,8013573.0,3600.1935789585114
500,0.01,0.1,1,opt,inf,-inf,,0.4250278847554927,0.42502788475549264,1.30605904276591e-16,30,1.0,1.0027220249176025
500,0.01,0.1,2,original,0.4518870866836451,0.21733382010132324,0.5190528198176345,0.45188708668364513,0.27107119303882216,0.4001351199739143,25,8634685.0,3601.0417850017548
500,0.01,0.1,2,opt,inf,-inf,,0.45188708668365013,0.4518870866836502,-1.2284296866867362e-16,25,1.0,2.2237770557403564
500,0.01,0.1,3,original,0.41292396793637326,0.20655012109634102,0.4997865536151973,0.4129239679363733,0.26024389077467136,0.36975348736653657,19,8653881.0,3601.0342988967896
500,0.01,0.1,3,opt,inf,-inf,,0.41292396793637337,0.412923967936375,-3.89859516693042e-15,19,1.0,2.230978012084961
500,0.01,0.1,4,original,0.42872680819434494,0.2017025491395899,0.5295312882600132,0.42872680819434494,0.2540144209173522,0.4075144916008946,24,8489273.0,3600.584317922592
500,0.01,0.1,4,opt,inf,-inf,,0.42872680819434594,0.4287268081943454,1.29479076582713e-15,24,1.0,2.4404327869415283
500,0.02,0.1,0,original,0.4326658717253839,0.21514343731445296,0.502749231279776,0.4326658717253839,0.2672362752876053,0.3823495386360816,18,7458460.0,3600.1321959495544
500,0.02,0.1,0,opt,inf,-inf,,0.43266587172538384,0.43266587172538384,0.0,18,0.0,0.981126070022583
500,0.02,0.1,1,original,0.4485918595694954,0.22202944873413738,0.5050524346402215,0.4485918595694954,0.27783231613271286,0.3806568037160929,24,7872198.0,3600.215779066086
500,0.02,0.1,1,opt,inf,-inf,,0.4485918595694954,0.44859185956949554,-3.7123601363072504e-16,24,1.0,0.5818860530853271
500,0.02,0.1,2,original,0.4571633528539141,0.21196240949385303,0.5363530165516454,0.4567248876364464,0.271561021696729,0.40541663253329885,29,8066673.0,3600.0218408107758
500,0.02,0.1,2,opt,inf,-inf,,0.4567248876364751,0.4567248876364751,0.0,29,1.0,0.4361851215362549
500,0.02,0.1,3,original,0.4487939300889648,0.20646295248024507,0.5399604614988492,0.4487939300889648,0.2615144390325783,0.4172950623892393,18,7829442.0,3600.010313987732
500,0.02,0.1,3,opt,inf,-inf,,0.4487939300889648,0.44879393008896523,-9.895169699867163e-16,18,1.0,1.9636878967285156
500,0.02,0.1,4,original,0.4750657964400916,0.2660292256772997,0.4400160405762922,0.4750657964400916,0.3123771495711482,0.3424549780010511,22,8535083.0,3600.5214438438416
500,0.02,0.1,4,opt,inf,-inf,,0.4750657542812864,0.47506573730722834,3.57299129542464e-08,23,1.0,1.4372451305389404
500,0.05,0.1,0,original,0.4785383152991979,0.24013170831607825,0.4981975306074708,0.4785383152991979,0.2884347900898409,0.3972587337975184,17,4088038.0,3600.0181760787964
500,0.05,0.1,0,opt,inf,-inf,,0.4785383152990504,0.47853831529904983,1.1600147669798926e-15,17,1.0,0.9129199981689453
500,0.05,0.1,1,original,0.44291398374865576,0.20549062944571714,0.5360484496187669,0.44291398374865576,0.2636804839791448,0.40466886652019135,21,3913331.0,3600.0109531879425
500,0.05,0.1,1,opt,0.4429139837486558,0.25940929770113197,0.4143122429651235,0.44291398374865576,0.4429139837486558,-1.2533167447420044e-16,21,1495.0,38.25620102882385
500,0.05,0.1,2,original,0.4502327182539076,0.1822234085096096,0.5952683998259647,0.4502327182539076,0.2340067666529454,0.4802537506370697,23,3427687.0,3600.0098040103912
500,0.05,0.1,2,opt,0.4502327182540489,0.23281143495573464,0.48290867030154805,0.4502327182540489,0.4502327174470674,1.7923653800163184e-09,23,29517.0,787.7143721580505
500,0.05,0.1,3,original,0.46241984595811925,0.23756280488831963,0.4862616581775442,0.46241984595811925,0.2909100770708966,0.37089621128145966,18,6882646.0,3600.0065801143646
500,0.05,0.1,3,opt,inf,-inf,,0.4624198459582198,0.4624198459582193,1.0804042375085692e-15,18,1.0,2.218264102935791
500,0.05,0.1,4,original,0.4544367321598797,0.2357504637962922,0.48122489422058734,0.4544367321598797,0.2881585347971081,0.36589955343722447,22,8325970.0,3600.6657631397247
500,0.05,0.1,4,opt,inf,-inf,,0.4544367321600682,0.4544367321600683,-2.443075011449774e-16,22,1.0,1.1210341453552246
500,0.1,0.1,0,original,0.4702029307270324,0.1850387255478917,0.6064704971919613,0.4702029307270324,0.2377507043784701,0.4943657539291437,21,2421169.0,3600.0148499011993
500,0.1,0.1,0,opt,0.4702029306680391,0.2047253547098163,0.5646021295125628,0.4702029252225044,0.4702029252223828,2.586647717900348e-13,21,30000.0,380.0028040409088
500,0.1,0.1,1,original,0.4672429683636205,0.20460031892105077,0.5621115077716364,0.4672429683636205,0.25370737243383784,0.45701189827987687,16,2611016.0,3600.0223948955536
500,0.1,0.1,1,opt,0.46724296836381624,0.2229804691394413,0.5227740506823021,0.4672429679302078,0.4672429672653654,1.4229051028803447e-09,16,14481.0,173.5706808567047
500,0.1,0.1,2,original,0.4843567180032907,0.25553507058760744,0.4724238126787552,0.4843567180032907,0.2971432503140968,0.38651981221807274,10,3773817.0,3600.0088579654694
500,0.1,0.1,2,opt,inf,-inf,,0.48435671800330016,0.4843567180033005,-6.876479565733568e-16,10,1.0,2.6699838638305664
500,0.1,0.1,3,original,0.4656217615476538,0.2423461799695073,0.47952136265283957,0.46561794636958176,0.29091189311215715,0.37521331516451606,22,2963096.0,3600.014158964157
500,0.1,0.1,3,opt,inf,-inf,,0.4656179463696385,0.46561788854309194,1.2419312228414342e-07,22,1.0,0.6484851837158203
500,0.1,0.1,4,original,0.4720296319350282,0.2444526570585133,0.4821243402529429,0.4720296319350282,0.29306057052869094,0.3791479375408601,18,3250935.0,3600.0099880695343
500,0.1,0.1,4,opt,inf,-inf,,0.47202963193516484,0.47202963193516534,-1.0584088948677327e-15,18,1.0,2.1854491233825684
500,0.2,0.1,0,original,0.46774389052414933,0.22090992747663057,0.5277117842649296,0.46774389052414933,0.269152459445578,0.42457300907988704,21,2199604.0,3600.010554075241
500,0.2,0.1,0,opt,0.4677438905245147,0.2368108021846843,0.4937169528411554,0.4677438905245147,0.4677438905241954,6.826388293904618e-13,21,2090.0,31.74652099609375
500,0.2,0.1,1,original,0.45335424585433837,0.1836848695490283,0.5948314784107133,0.45335424585433837,0.23571536674585059,0.4800636171353177,25,1952865.0,3600.0228848457336
500,0.2,0.1,1,opt,0.45335424585433887,0.19847363288101266,0.5622107111691603,0.4533542437299738,0.45335424372997374,1.2244542099030466e-16,25,44968.0,1505.7981231212616
500,0.2,0.1,2,original,0.4638098299786001,0.24801630489766757,0.4652629399659104,0.4638098299786001,0.2950957860358261,0.36375693880950816,21,2475511.0,3600.012307882309
500,0.2,0.1,2,opt,inf,-inf,,0.46380982997950293,0.46380982997950326,-7.181109279254951e-16,21,1.0,6.186903953552246
