n,delta,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.01,0.05,4,original,0.14656501655368628,0.13181415423463544,0.1006438143692199,0.14614874353967944,0.1461487435396792,1.709218803327169e-15,21,127.0,0.08073616027832031
100,0.01,0.05,4,opt,inf,-inf,,0.14614874353967966,0.1461487435396796,3.7982640073937034e-16,21,1.0,0.05425405502319336
100,0.01,0.1,4,original,0.2318033812375877,0.22042930019154733,0.04906779610079315,0.23180338123758776,0.2318033812375877,2.3947515750152697e-16,14,55.0,0.07237601280212402
100,0.01,0.1,4,opt,inf,-inf,,0.23180338123769628,0.23180338123769617,4.789503150028297e-16,14,1.0,0.03881382942199707
100,0.01,0.2,4,original,0.35237247221036855,0.33028339102256554,0.0626867389760676,0.3523724722103685,0.35237247221036855,-1.5753543653125472e-16,10,53.0,0.0630650520324707
100,0.01,0.2,4,opt,inf,-inf,,0.3523724722103685,0.3523724722103686,-3.1507087306250945e-16,10,0.0,0.010875940322875977
100,0.1,0.05,4,original,0.24185777959792376,0.07380814590130447,0.6948283159466413,0.23695820333399392,0.1850455455981899,0.21907938617610484,29,9802646.0,600.0047240257263
100,0.1,0.05,4,opt,inf,-inf,,0.2369582033339962,0.2369582033339962,0.0,29,1.0,0.1373889446258545
100,0.1,0.1,4,original,0.3517693239791812,0.1482159389699501,0.5786558722820243,0.35124356992273364,0.2983331521914493,0.1506373988367205,18,8458706.0,600.0049748420715
100,0.1,0.1,4,opt,inf,-inf,,0.35124356990860894,0.3512435699086088,4.74125273630217e-16,18,1.0,0.07908892631530762
100,0.1,0.2,4,original,0.444815639088281,0.25999646811534327,0.41549611733920466,0.444815639088281,0.444815639088281,0.0,6,371817.0,17.16620898246765
100,0.1,0.2,4,opt,inf,-inf,,0.4448156390882811,0.44481563908828103,1.247958622701229e-16,6,0.0,0.02226400375366211
100,0.5,0.05,4,original,0.254006119012919,0.06799418313725943,0.7323128143468025,0.2467922221341044,0.18237067793453765,0.26103555307573967,29,8338323.0,600.0041718482971
100,0.5,0.05,4,opt,1e+100,0.12034992191055355,1.0,0.24679222213410434,0.24679222213410434,0.0,29,40582.0,44.34805607795715
100,0.5,0.1,4,original,0.347724845896478,0.14257140860687875,0.589987858821788,0.3477170374453757,0.2991604659080983,0.13964392396189484,12,9133233.0,600.0032889842987
100,0.5,0.1,4,opt,0.3477170374456331,0.20224353208206688,0.4183674933855134,0.3477170374456331,0.3477168651339847,4.955513530774426e-07,12,2550.0,2.0820209980010986
100,0.5,0.2,4,original,0.43449757378918796,0.26204707930173887,0.3968963347333203,0.43449757378918796,0.43449757378918796,0.0,7,135658.0,8.714927911758423
100,0.5,0.2,4,opt,inf,-inf,,0.4344975737893502,0.43449757378935033,-2.5551880875712467e-16,7,1.0,0.08147406578063965
500,0.01,0.05,4,original,0.3290629709184008,0.12217321623934929,0.6287239007829747,0.325235190509995,0.15524652387496363,0.5226638186614291,73,1901173.0,600.0040910243988
500,0.01,0.05,4,opt,0.32523519051052846,0.3217793834558998,0.010625563147714782,0.32523519051052846,0.32523519051052846,0.0,73,411.0,0.31197214126586914
500,0.01,0.1,4,original,0.4222463909030937,0.22792747264446217,0.46020267418514904,0.4222463909030938,0.28193519094750213,0.33229697867990377,27,2899708.0,600.0030219554901
500,0.01,0.1,4,opt,inf,-inf,,0.4222463909032197,0.4222463909032197,0.0,27,1.0,0.11868786811828613
500,0.01,0.2,4,original,0.48663048635074274,0.3537845008455333,0.2729914981312117,0.48663048635074274,0.4302142807523046,0.11593232890422674,6,5551015.0,600.00292801857
500,0.01,0.2,4,opt,inf,-inf,,0.48663048635074274,0.48663048635074274,0.0,6,0.0,0.06444692611694336
500,0.1,0.05,4,original,0.37288122370170035,0.1344625514512238,0.6393957568676295,0.37053476584185296,0.16145902935344922,0.564254034337061,67,330440.0,600.0113301277161
500,0.1,0.05,4,opt,0.3705392142460777,0.15511300476807405,0.5813857243593592,0.37053476584185313,0.37053476584185124,5.093662770279194e-15,67,1565.0,29.128047943115234
500,0.1,0.1,4,original,0.46053561753794514,0.25365583490499066,0.4492155975664769,0.46053561753794514,0.29464332562837103,0.3602159867600374,24,776547.0,600.0093159675598
500,0.1,0.1,4,opt,inf,-inf,,0.4605356175382916,0.4605356175382923,-1.5669688478467141e-15,24,1.0,0.3468639850616455
500,0.1,0.2,4,original,0.4986413270873843,0.420742300761938,0.15622256338130366,0.4986413270873843,0.47572606996397854,0.045955390936519736,3,1972679.0,600.0046701431274
500,0.1,0.2,4,opt,inf,-inf,,0.4986413270873843,0.4986413270873843,0.0,3,0.0,0.14494800567626953
500,0.5,0.05,4,original,0.3914019531274291,0.12895874432406274,0.670520948366148,0.3896989962210657,0.14913656943678388,0.617303172748788,75,178050.0,600.0155029296875
500,0.5,0.05,4,opt,0.38969899622106563,0.13938322907389833,0.6423310544150593,0.38969899622106563,0.17727239265942796,0.5451043128710905,75,30417.0,600.0174131393433
500,0.5,0.1,4,original,0.4781329044772014,0.24704219764900023,0.4833189781842763,0.4781329044772014,0.2827556747701176,0.4086253589275822,21,321925.0,600.0150370597839
500,0.5,0.1,4,opt,0.4781329044779642,0.264097949770018,0.44764740661727553,0.47813290447796386,0.4781329044779642,-6.96599008911961e-16,21,1784.0,34.46036911010742
500,0.5,0.2,4,original,0.5005322273185779,0.42305482328533106,0.15479004108947053,0.5005322273185779,0.4700157661407096,0.060968024659169964,1,603387.0,600.0099859237671
500,0.5,0.2,4,opt,inf,-inf,,0.500532227318578,0.5005322273185779,2.2180849983881725e-16,1,0.0,0.4880709648132324
1000,0.01,0.05,4,original,0.41158395501947187,0.1452111907162305,0.6471893791161984,0.4115628934991289,0.15518069138220306,0.6229478074107974,72,230374.0,600.0148339271545
1000,0.01,0.1,4,original,0.4694030286627734,0.2680141858668469,0.4290318351154216,0.4694030286627734,0.29288046922575506,0.37605756388043027,15,716981.0,600.0088901519775
1000,0.01,0.1,4,opt,inf,-inf,,0.4694030286624607,0.46940302866246125,-1.1825903933648222e-15,15,1.0,0.4060862064361572
1000,0.01,0.2,4,original,0.48814463917352224,0.42914028765223355,0.12087473012340966,0.48814463917352224,0.4666698524609387,0.043992671411781724,2,2145844.0,600.0063490867615
1000,0.01,0.2,4,opt,inf,-inf,,0.48814463917352224,0.4881446391735222,1.1371865380974739e-16,2,0.0,0.15521502494812012
1000,0.1,0.05,4,original,0.4310793669874309,0.12782700908811803,0.7034722167719868,0.431079366987628,0.12887316225743842,0.701045394127766,73,32697.0,600.0775580406189
1000,0.1,0.05,4,opt,0.43107936698785215,0.1394652377164465,0.6764743376818203,0.43107935959078253,0.15121778325733784,0.6492112649492503,73,6187.0,600.0761728286743
1000,0.1,0.1,4,original,0.48111653349941297,0.23670465706939878,0.5080097219945413,0.48111653349941297,0.2571270768290788,0.4655617528691881,12,100100.0,600.0231790542603
1000,0.1,0.1,4,opt,0.4811165334994616,0.26731942823351224,0.44437696561967893,0.4811165295115493,0.2969139730282053,0.3828647431223253,12,21087.0,600.0536761283875
1000,0.1,0.2,4,original,0.5000917621030783,0.39355853053372525,0.2130273674602033,0.5000917621030783,0.42914370298736676,0.14187008163731316,1,313447.0,600.0118610858917
1000,0.1,0.2,4,opt,0.5000917621030779,0.4022993084152817,0.19554901939704303,0.5000917621030782,0.5000917621030779,4.4400772368504604e-16,1,2237.0,50.3187940120697
1000,0.5,0.05,4,original,0.4262734745350375,0.13192491948831803,0.6905157665927569,0.4262734745350375,0.13453231472207344,0.684399047187217,79,16791.0,600.0918159484863
1000,0.5,0.05,4,opt,0.4262734745350376,0.1296366051412456,0.6958839503615651,0.4262734745350376,0.14465814405857838,0.660644744042857,79,2307.0,600.0998659133911
1000,0.5,0.1,4,original,0.481220323891813,0.24823925001548253,0.4841463718575378,0.481220323891813,0.26328960429894843,0.45287097982557223,13,57840.0,600.0145699977875
1000,0.5,0.1,4,opt,0.481220323892128,0.25201954106810953,0.4762907372037697,0.481220323892128,0.275646388224964,0.42719296226824816,13,3850.0,600.0678391456604
1000,0.5,0.2,4,original,0.49362346471190865,0.4019536065222411,0.18570806443159754,0.49362346471190865,0.4314527902901714,0.12594756705502572,1,128613.0,600.0290548801422
1000,0.5,0.2,4,opt,0.49362346471190816,0.41551771643419266,0.15822940735465257,0.49362346471190865,0.49362346471190816,1.0121082095902796e-15,1,1125.0,294.04849910736084
