n,delta,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
500,0.01,0.01,0,original,0.1387223714411041,0.031965140139561185,0.7695747282324085,0.1322806009686584,0.04896460104313428,0.6298429196376604,222,8664195.0,3600.3805429935455
500,0.01,0.01,0,opt,1e+100,0.08855046013060412,1.0,0.1321595854337475,0.12567790481415753,0.04904434739498551,217,2124675.0,3600.7927169799805
500,0.01,0.01,1,original,0.13433781324324656,0.02145259005691044,0.8403086254049256,0.12852845611828595,0.03821428658548925,0.7026783971456073,215,2666573.0,3600.3651559352875
500,0.01,0.01,1,opt,1e+100,0.056032574029542315,1.0,0.12851954006213878,0.12234191789927049,0.04806757135826533,214,666249.0,3600.373330116272
500,0.01,0.01,2,original,0.14292430546895535,0.030702006599989798,0.7851869456405468,0.13545138648894145,0.04628193007439047,0.6583133530481136,215,5933969.0,3600.162657022476
500,0.01,0.01,2,opt,1e+100,0.09704968582680164,1.0,0.13539353892898986,0.12881921306116714,0.04855716099769556,216,1064547.0,3600.317573070526
500,0.01,0.01,3,original,0.14023378296553174,0.028570574283689844,0.7962646825928369,0.13370410562850543,0.04575746997496826,0.6577706439164657,220,10542026.0,3600.0075800418854
500,0.01,0.01,3,opt,1e+100,0.08446511128581202,1.0,0.13370410556479984,0.12447156096984589,0.06905206505030902,220,2198855.0,3600.009974002838
500,0.01,0.01,4,original,0.14010767771564836,0.028112091645374225,0.7993536678094948,0.13533920008618794,0.04452213333395368,0.6710329800560318,221,9730732.0,3600.007185935974
500,0.01,0.01,4,opt,1e+100,0.059700436013817026,1.0,0.13525353654990036,0.12820457784862113,0.052116631336132084,220,2177559.0,3600.0101459026337
500,0.01,0.02,0,original,0.2216302982686979,0.05977866947834595,0.7302775390128651,0.2114495653287461,0.08420189812605695,0.6017873198502628,145,9183335.0,3601.561856985092
500,0.01,0.02,0,opt,0.21192376173207694,0.19278583062827664,0.09030573517279901,0.21144956449468255,0.20659639293329946,0.02295191088702924,145,2111870.0,3600.7714879512787
500,0.01,0.02,1,original,0.2151769014386236,0.04275449293472917,0.8013053787424097,0.20663645117895862,0.06769528787682712,0.6723942581737468,140,9423084.0,3606.634309053421
500,0.01,0.02,1,opt,1e+100,0.0929386471261805,1.0,0.20663643396804404,0.2018701630685684,0.02306597538463495,140,2386424.0,3600.687884092331
500,0.01,0.02,2,original,0.22647237019736655,0.057864527542293064,0.744496304375385,0.2153130948514339,0.08128409292831626,0.6224842107982225,149,11069885.0,3600.007133960724
500,0.01,0.02,2,opt,0.21545528023121124,0.19671877812153488,0.08696237144696425,0.21530774341757136,0.2152902987872981,8.102184341518641e-05,148,2848631.0,696.9679679870605
500,0.01,0.02,3,original,0.2235643754540538,0.05526221382106916,0.7528129707211493,0.21323312502331276,0.07792509653447374,0.634554450552867,145,10295109.0,3600.00546002388
500,0.01,0.02,3,opt,0.21358486175115232,0.19172834632331323,0.10233176288169764,0.21323312252808926,0.20798636395410666,0.02460573906988322,145,8922165.0,3600.756880044937
500,0.01,0.02,4,original,0.2236533215618413,0.05339489965703545,0.7612604217806286,0.21548620857790668,0.07613939570242116,0.6466623260722795,147,10331836.0,3600.0065438747406
500,0.01,0.02,4,opt,0.21548620857913642,0.194238398122321,0.09860403873138013,0.2154861837885454,0.21395289372585882,0.007115491284541817,147,14660544.0,3600.269016981125
500,0.01,0.05,0,original,0.3401213380131809,0.1336176684170725,0.6071470575836252,0.338185807303767,0.16978675973479618,0.4979482992250783,65,8818503.0,3601.215744972229
500,0.01,0.05,0,opt,0.33818579795076287,0.33587793285982803,0.0068242519494294135,0.3381857976352995,0.3381857976352995,0.0,66,159.0,2.142302989959717
500,0.01,0.05,1,original,0.33314736023258085,0.09823982222922639,0.7051160118434016,0.3315431676785317,0.13563019151155084,0.5909124218688182,67,6792465.0,3600.079036951065
500,0.01,0.05,1,opt,inf,-inf,,0.33154316767853503,0.33154316767853487,5.022979507007808e-16,67,1.0,4.3545920848846436
500,0.01,0.05,2,original,0.3540058287653916,0.13103783968735397,0.6298427058550045,0.35358436728874043,0.16389861189728283,0.5364653331422833,71,8020544.0,3600.2106320858
500,0.01,0.05,2,opt,0.35358436601473764,0.34795683480488976,0.015915667520246982,0.35358436601473764,0.35358436601473764,0.0,72,582.0,0.5521550178527832
500,0.01,0.05,3,original,0.33795053857641133,0.12013390446102284,0.6445222281133891,0.3366204990135741,0.15798028125086194,0.5306872822249264,61,8217382.0,3600.6547548770905
500,0.01,0.05,3,opt,inf,-inf,,0.33662047154699914,0.33662048589112636,-4.261216542602015e-08,61,1.0,1.9122519493103027
500,0.01,0.05,4,original,0.3418436190640363,0.12260212092779395,0.6413502721990919,0.3410798345679672,0.15403718179278839,0.5483837911792663,60,8215552.0,3600.256910085678
500,0.01,0.05,4,opt,inf,-inf,,0.341079834567967,0.3410798345679636,9.927822996032218e-15,60,1.0,3.4929471015930176
500,0.01,0.08,0,original,0.40768564796961754,0.18860625300697179,0.5373733317660779,0.4074930885210092,0.23870385600441157,0.41421373091066627,39,10424770.0,3600.0056059360504
500,0.01,0.08,0,opt,0.40749308852167526,0.40611178256774166,0.0033897653551493894,0.40749308852167526,0.40749308852167465,1.4984859393789595e-15,39,1.0,0.1681230068206787
500,0.01,0.08,1,original,0.39621727273231566,0.1386049921384757,0.6501793291780158,0.39621727273231566,0.1952104423416606,0.5073146584562336,37,10811834.0,3600.006469964981
500,0.01,0.08,1,opt,inf,-inf,,0.3962172727323158,0.3962172727323149,2.2416448772544507e-15,37,1.0,0.25867390632629395
500,0.01,0.08,2,original,0.4248359418806358,0.184731440161432,0.5651699351432579,0.424249481447613,0.2330566769667105,0.4506612567410086,39,11235729.0,3600.0072870254517
500,0.01,0.08,2,opt,0.42424948144763525,0.422989006974577,0.0029710689775206004,0.42424947535914376,0.42424947535914376,0.0,39,1.0,0.16480398178100586
500,0.01,0.08,3,original,0.39500602544102326,0.17552051731772145,0.555651038179093,0.39493128640312786,0.2237861138564718,0.4333543034925799,26,10225990.0,3600.0048818588257
500,0.01,0.08,3,opt,inf,-inf,,0.39493128640323893,0.3949312864032387,5.622360460404645e-16,26,1.0,0.20496606826782227
500,0.01,0.08,4,original,0.403565765609503,0.17257351074945487,0.5723782207125074,0.40280555765534126,0.21795598009687042,0.4589052311851083,34,9921404.0,3600.0084459781647
500,0.01,0.08,4,opt,inf,-inf,,0.4028055472710413,0.40280554727104123,1.3781128787162725e-16,36,1.0,0.21253395080566406
