n,delta,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.01,0.1,0,original,0.17869876973909554,0.14324246244997157,0.19841382982597486,0.17825383703697673,0.17825383703697675,-1.5570815235731131e-16,9,200.0,0.12990903854370117
100,0.01,0.1,0,opt,inf,-inf,,0.17825383703697673,0.17825383703697673,0.0,9,1.0,0.03396415710449219
100,0.01,0.1,1,original,0.2748050420828927,0.20287234465696513,0.26175901606721486,0.2727191609192774,0.2727191609192775,-4.0709388400977566e-16,16,1671.0,0.2699470520019531
100,0.01,0.1,1,opt,inf,-inf,,0.2727191609198036,0.2727191552643292,2.0737356141462757e-08,16,1.0,0.06148791313171387
100,0.01,0.1,2,original,inf,-inf,,0.1656309245710324,0.16563092457103246,-3.3514967917389933e-16,10,1.0,0.11318802833557129
100,0.01,0.1,2,opt,inf,-inf,,0.16563092457103243,0.16563092457103235,5.027245187608489e-16,10,1.0,0.06459903717041016
100,0.01,0.1,3,original,0.27730491764554216,0.1599292510401417,0.42327293580647163,0.27648727585260535,0.27648727585260546,-4.015457930935721e-16,16,111681.0,2.9626917839050293
100,0.01,0.1,3,opt,0.27648727585286215,0.27359836921148106,0.010448606115669747,0.2764872758528622,0.2764615335790045,9.310473249918661e-05,16,1.0,0.08835411071777344
100,0.01,0.1,4,original,0.2318033812375877,0.22019428184796178,0.05008166545132117,0.23180338123758776,0.2318033812375877,2.3947515750152697e-16,14,59.0,0.1046290397644043
100,0.01,0.1,4,opt,inf,-inf,,0.23180338123769617,0.2318033812376964,-9.579006300056598e-16,14,1.0,0.03854203224182129
200,0.01,0.1,0,original,0.34392063223031494,0.1730974005098603,0.4966937592917038,0.3425119051314134,0.2698368201067317,0.21218265390453517,20,15197131.0,3602.5592839717865
200,0.01,0.1,0,opt,inf,-inf,,0.3425119051314181,0.34251190513141816,-1.6207072046140645e-16,20,1.0,2.6607789993286133
200,0.01,0.1,1,original,0.3185667694815534,0.14644798535082174,0.5402910806134731,0.31625264577456264,0.24784756867519706,0.21629882947486048,20,14661464.0,3601.325021982193
200,0.01,0.1,1,opt,inf,-inf,,0.3162526457745626,0.31622571490974094,8.515617238768241e-05,20,1.0,3.120784044265747
200,0.01,0.1,2,original,0.3431264302039166,0.15991929108716846,0.5339347919303971,0.3429064041024057,0.2567875497951897,0.25114390771628003,23,14115912.0,3602.479421854019
200,0.01,0.1,2,opt,0.3429064041024058,0.33889145411868665,0.01170858851186729,0.3429064041024058,0.3429064041024058,0.0,23,57.0,7.7660088539123535
200,0.01,0.1,3,original,0.3003014089877202,0.142973224674682,0.5239009195573624,0.3003014089877203,0.24619609701414963,0.1801700236970353,17,15721960.0,3605.5043890476227
200,0.01,0.1,3,opt,inf,-inf,,0.3003014089877203,0.3003000943512,4.377723450390798e-06,17,1.0,2.212296962738037
500,0.01,0.1,0,original,0.43596337109640493,0.21993890563627455,0.49551058593947955,0.4358922832276078,0.2768417472530715,0.36488495459665127,28,8923114.0,3603.000967025757
500,0.01,0.1,0,opt,inf,-inf,,0.43589228322802853,0.43589228322802853,0.0,28,1.0,1.4371092319488525
500,0.01,0.1,1,original,0.4250278847554137,0.16840035659596703,0.6037898626513067,0.42502788475541375,0.22883608249560164,0.46159748406322215,30,8622455.0,3602.175366163254
500,0.01,0.1,1,opt,inf,-inf,,0.4250278847554927,0.42502788475549264,1.30605904276591e-16,30,1.0,1.381152868270874
500,0.01,0.1,2,original,0.4518870866836451,0.21733382010132324,0.5190528198176345,0.45188708668364513,0.27115493546525804,0.3999498028252203,25,8808560.0,3601.7570009231567
500,0.01,0.1,2,opt,inf,-inf,,0.45188708668365013,0.4518870866836502,-1.2284296866867362e-16,25,1.0,1.0400819778442383
500,0.01,0.1,3,original,0.41292396793637326,0.20655012109634102,0.4997865536151973,0.4129239679363733,0.25893284823864837,0.3729285090117441,19,6512854.0,3600.0148730278015
500,0.01,0.1,3,opt,inf,-inf,,0.41292396793637337,0.412923967936375,-3.89859516693042e-15,19,1.0,0.1786818504333496
500,0.01,0.1,4,original,0.42872680819434494,0.2017025491395899,0.5295312882600132,0.42872680819434494,0.254171645654724,0.40714776683732323,24,8768153.0,3605.296742916107
500,0.01,0.1,4,opt,inf,-inf,,0.42872680819434594,0.4287268081943454,1.29479076582713e-15,24,1.0,1.4512901306152344
