n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.2,0,original,0.28284828157535485,0.1028250315098847,0.6364657726142464,0.2811014723542792,0.2202845227299544,0.21635229838880266,15,15583501.0,600.0022888183594
100,0.2,0,opt,inf,-inf,,0.2811014723542807,0.2811014723542808,-3.9495453913023585e-16,15,1.0,0.04959607124328613
100,0.2,0,tree,,,,0.2811014723542793,,,15,0.0,0.08735108375549316
200,0.2,0,original,0.29446028605226016,0.11798026011134224,0.599333880663271,0.2912602127603142,0.18657060939507458,0.35943667819604147,28,8947199.0,600.142165184021
200,0.2,0,opt,inf,-inf,,0.2912602127603142,0.29126021276031455,-1.1435372659761001e-15,28,1.0,0.12035608291625977
200,0.2,0,tree,,,,0.29126021276031405,,,28,0.0,0.15896821022033691
300,0.2,0,original,0.3182739084887773,0.11868649800932221,0.6270932211412886,0.31755053054627325,0.16598186865665873,0.4773056484234972,36,5666830.0,600.0046060085297
300,0.2,0,opt,inf,-inf,,0.31755053054627314,0.317550530546273,3.496209005588092e-16,36,1.0,0.10946893692016602
300,0.2,0,tree,,,,0.31755053054627314,,,36,0.0,0.23677682876586914
500,0.2,0,original,0.3366359898928061,0.1334117406105526,0.603691391841275,0.33506060619515177,0.16237662508131104,0.5153813307830738,63,3839922.0,600.0027601718903
500,0.2,0,opt,inf,-inf,,0.3350606061953053,0.3350410782692112,5.8281772709283325e-05,63,1.0,0.15999293327331543
500,0.2,0,tree,,,,0.33506060619515177,,,63,0.0,0.38214588165283203
1000,0.2,0,original,0.31520022716216684,0.1284118217450192,0.5926023819806677,0.31520022716216684,0.1427324636005075,0.5471689062994446,95,1991198.0,600.0068480968475
1000,0.2,0,opt,inf,-inf,,0.3152002271622679,0.31520022716226526,8.453468714439247e-15,95,1.0,0.24970507621765137
1000,0.2,0,tree,,,,0.31520022716216695,,,95,0.0,0.7796182632446289
2000,0.2,0,original,0.34404324204555703,0.12762084555441494,0.6290557989291479,0.3439920903390336,0.1340511358107017,0.6103075053889093,193,831107.0,600.0076329708099
2000,0.2,0,opt,inf,-inf,,0.3439920903393411,0.3439920903393413,-6.454933446463519e-16,193,1.0,0.5545101165771484
2000,0.2,0,tree,,,,0.3439920903386854,,,193,0.0,1.626281976699829
5000,0.2,0,original,0.36048443966058596,0.12899277746850454,0.6421682511734552,0.36019855467294437,0.13041985485712052,0.6379223259917296,410,259542.0,600.0094308853149
5000,0.2,0,opt,inf,-inf,,0.36019855409164003,0.36018416800980124,3.99393103480666e-05,410,1.0,1.3205111026763916
5000,0.2,0,tree,,,,0.3601985546729444,,,410,0.0,4.23533821105957
10000,0.2,0,original,0.3739651264311388,0.13023388362057037,0.6517485871919895,0.37367865834770836,0.13053339102528563,0.6506801014474202,707,112764.0,600.013965845108
10000,0.2,0,opt,inf,-inf,,0.3736792552275549,0.37367639627518023,7.650819077266181e-06,707,1.0,2.917562961578369
10000,0.2,0,tree,,,,0.3736786583464017,,,707,0.0,8.961012363433838
