inference_mode,formulation,t,start_reading,end_reading,hidden_state,hidden_active
nonrobust,opt,1,0,10,0.0,0
nonrobust,opt,2,10,20,0.0,0
nonrobust,opt,3,20,30,0.0,0
nonrobust,opt,4,30,40,0.0,0
nonrobust,opt,5,40,50,0.0,0
nonrobust,opt,6,50,60,0.0,0
nonrobust,opt,7,60,70,0.0,0
nonrobust,opt,8,70,80,0.0,0
nonrobust,opt,9,80,90,0.0,0
nonrobust,opt,10,90,100,0.0,0
nonrobust,opt,11,100,110,0.0,0
nonrobust,opt,12,110,120,0.0,0
nonrobust,opt,13,120,130,0.0,0
nonrobust,opt,14,130,140,0.0,0
nonrobust,opt,15,140,150,0.0,0
nonrobust,opt,16,150,160,0.0,0
nonrobust,opt,17,160,170,0.0,0
nonrobust,opt,18,170,180,0.0,0
nonrobust,opt,19,180,190,0.0,0
nonrobust,opt,20,190,200,0.0,0
nonrobust,opt,21,200,210,0.0,0
nonrobust,opt,22,210,220,12.739645509210769,1
nonrobust,opt,23,220,230,168.67220120263696,1
nonrobust,opt,24,230,240,81.44878094880272,1
nonrobust,opt,25,240,250,22.80097967102264,1
nonrobust,opt,26,250,260,9.772771813695318,1
nonrobust,opt,27,260,270,0.0,0
nonrobust,opt,28,270,280,0.0,0
nonrobust,opt,29,280,290,0.0,0
nonrobust,opt,30,290,300,0.0,0
nonrobust,opt,31,300,310,0.0,0
nonrobust,opt,32,310,320,0.0,0
nonrobust,opt,33,320,330,0.0,0
nonrobust,opt,34,330,340,0.0,0
nonrobust,opt,35,340,350,0.0,0
nonrobust,opt,36,350,360,0.0,0
nonrobust,opt,37,360,370,0.0,0
nonrobust,opt,38,370,380,0.0,0
nonrobust,opt,39,380,390,0.0,0
nonrobust,opt,40,390,400,0.0,0
nonrobust,opt,41,400,410,0.0,0
nonrobust,opt,42,410,420,0.0,0
nonrobust,opt,43,420,430,0.0,0
nonrobust,opt,44,430,440,0.0,0
nonrobust,opt,45,440,450,0.0,0
nonrobust,opt,46,450,460,0.0,0
nonrobust,opt,47,460,470,8.054545454545453,1
nonrobust,opt,48,470,480,0.0,0
nonrobust,opt,49,480,490,0.0,0
nonrobust,opt,50,490,500,0.0,0
nonrobust,opt,51,500,510,0.0,0
