inference_mode,formulation,t,start_reading,end_reading,hidden_state,hidden_active
robust,opt,1,0,10,0.0,0
robust,opt,2,10,20,6.139089236967266e-12,0
robust,opt,3,20,30,0.0,0
robust,opt,4,30,40,8.888889624358853e-12,0
robust,opt,5,40,50,-6.910028105266974e-13,0
robust,opt,6,50,60,1.3771206397450442e-11,0
robust,opt,7,60,70,0.0,0
robust,opt,8,70,80,3.914202295618452e-12,0
robust,opt,9,80,90,-7.487344078072056e-13,0
robust,opt,10,90,100,4.1877612488860905e-12,0
robust,opt,11,100,110,0.0,0
robust,opt,12,110,120,1.1302070390684094e-11,0
robust,opt,13,120,130,5.0039972165905056e-12,0
robust,opt,14,130,140,-6.714628852932947e-13,0
robust,opt,15,140,150,1.8207657603852567e-12,0
robust,opt,16,150,160,6.5494276668687235e-12,0
robust,opt,17,160,170,0.0,0
robust,opt,18,170,180,1.1711520642165851e-11,0
robust,opt,19,180,190,1.4220624677818705e-11,0
robust,opt,20,190,200,1.2019718553801795e-11,0
robust,opt,21,200,210,0.0,0
robust,opt,22,210,220,2.41051623106614e-11,0
robust,opt,23,220,230,4.547473508864641e-13,0
robust,opt,24,230,240,4.092726157978177e-12,0
robust,opt,25,240,250,-3.6415315207705135e-12,0
robust,opt,26,250,260,8.736673476260194,1
robust,opt,27,260,270,0.0,0
robust,opt,28,270,280,4.554578936222242e-12,0
robust,opt,29,280,290,0.0,0
robust,opt,30,290,300,0.0,0
robust,opt,31,300,310,8.30269186735677e-12,0
robust,opt,32,310,320,0.0,0
robust,opt,33,320,330,-6.936673457857978e-13,0
robust,opt,34,330,340,5.46229728115577e-12,0
robust,opt,35,340,350,0.0,0
robust,opt,36,350,360,6.195932655828074e-12,0
robust,opt,37,360,370,-7.212008767965017e-13,0
robust,opt,38,370,380,6.254552431528282e-12,0
robust,opt,39,380,390,0.0,0
robust,opt,40,390,400,7.362999099314038e-13,0
robust,opt,41,400,410,6.7128524960935465e-12,0
robust,opt,42,410,420,0.0,0
robust,opt,43,420,430,1.176925223944636e-11,0
robust,opt,44,430,440,1.3645085061853024e-11,0
robust,opt,45,440,450,0.0,0
robust,opt,46,450,460,-7.194245199571014e-13,0
robust,opt,47,460,470,5.944196600307237,1
robust,opt,48,470,480,-7.069900220812997e-13,0
robust,opt,49,480,490,-7.140954494389007e-13,0
robust,opt,50,490,500,0.0,0
robust,opt,51,500,510,0.0,0
robust,opt,52,510,520,7.203126983768016e-13,0
robust,opt,53,520,530,0.0,0
robust,opt,54,530,540,1.1258549648118787e-11,0
robust,opt,55,540,550,0.0,0
robust,opt,56,550,560,1.1302070390684094e-11,0
robust,opt,57,560,570,0.0,0
robust,opt,58,570,580,4.290789945571305e-12,0
robust,opt,59,580,590,0.0,0
robust,opt,60,590,600,3.9817038555156614e-12,0
robust,opt,61,600,610,2.9549696023423166e-12,0
robust,opt,62,610,620,2.4646951146678475e-12,0
robust,opt,63,620,630,2.5091040356528538e-12,0
robust,opt,64,630,640,8.37196978409338e-12,0
robust,opt,65,640,650,0.0,0
robust,opt,66,650,660,-7.034373084024992e-13,0
robust,opt,67,660,670,-6.643574579356937e-13,0
robust,opt,68,670,680,0.0,0
robust,opt,69,680,690,5.0102144655284064e-12,0
robust,opt,70,690,700,0.0,0
robust,opt,71,700,710,0.0,0
robust,opt,72,710,720,2.049027614248189e-12,0
robust,opt,73,720,730,4.0463192796380554e-08,0
robust,opt,74,730,740,5.065281527549814e-12,0
robust,opt,75,740,750,0.0,0
robust,opt,76,750,760,-7.522871214860061e-13,0
robust,opt,77,760,770,5.1167958758924215e-12,0
robust,opt,78,770,780,7.311484750971431e-12,0
robust,opt,79,780,790,-0.0,0
robust,opt,80,790,800,1.234301549857264e-11,0
robust,opt,81,800,810,2.5019986082952528e-12,0
robust,opt,82,810,820,2.5224267119483557e-12,0
robust,opt,83,820,830,0.0,0
robust,opt,84,830,840,-7.673861546209082e-13,0
robust,opt,85,840,850,9.586109683823452e-12,0
robust,opt,86,850,860,-2.27873186098293e-07,1
robust,opt,87,860,870,7.398526236102043e-13,0
robust,opt,88,870,880,0.0,0
robust,opt,89,880,890,0.0,0
robust,opt,90,890,900,5.115019519053021e-12,0
robust,opt,91,900,910,0.0,0
robust,opt,92,910,920,1.404210081545898e-12,0
robust,opt,93,920,930,1.375966007799434e-11,0
robust,opt,94,930,940,0.0,0
robust,opt,95,940,950,2.9456437289354653e-12,0
robust,opt,96,950,960,2.9103830456733704e-11,0
robust,opt,97,960,970,0.0,0
robust,opt,98,970,980,0.0,0
robust,opt,99,980,990,1.8598456108520622e-12,0
robust,opt,100,990,1000,1.573940977550592e-11,0
robust,opt,101,1000,1010,9.596767824859853e-12,0
robust,opt,102,1010,1020,-0.0,0
robust,opt,103,1020,1030,7.061018436615996e-13,0
robust,opt,104,1030,1040,3.76143560743003e-12,0
robust,opt,105,1040,1050,0.0,0
robust,opt,106,1050,1060,3.0953017926549364e-12,0
robust,opt,107,1060,1070,0.0,0
robust,opt,108,1070,1080,0.0,0
robust,opt,109,1080,1090,1.368682944757893e-12,0
robust,opt,110,1090,1100,0.0,0
robust,opt,111,1100,1110,-6.838973831690964e-13,0
robust,opt,112,1110,1120,5.45963274589667e-12,0
robust,opt,113,1120,1130,8.020251129892131e-12,0
robust,opt,114,1130,1140,3.869793374633446e-12,0
robust,opt,115,1140,1150,0.0,0
robust,opt,116,1150,1160,0.0,0
robust,opt,117,1160,1170,1.0666134642178804e-11,0
robust,opt,118,1170,1180,2.163602630389505e-12,0
robust,opt,119,1180,1190,1.8243184740640572e-12,0
robust,opt,120,1190,1200,1.8456347561368602e-12,0
robust,opt,121,1200,1210,0.0,0
robust,opt,122,1210,1220,0.0,0
robust,opt,123,1220,1230,2.6831870059140783e-12,0
robust,opt,124,1230,1240,2.390088127413037e-12,0
