inference_mode,formulation,reading_index,start_reading,end_reading,t,k,y,outlier_flag,outlier_adjustment_w,cleaned_y
robust,opt,1,0,0,1,1,4.3,0,0.0,4.3
robust,opt,2,1,1,1,2,3.7,0,0.0,3.7
robust,opt,3,2,2,1,3,3.2,0,0.0,3.2
robust,opt,4,3,3,1,4,2.6,0,0.0,2.6
robust,opt,5,4,4,1,5,2.9,0,0.0,2.9
robust,opt,6,5,5,1,6,2.8,0,0.0,2.8
robust,opt,7,6,6,1,7,3.4,0,0.0,3.4
robust,opt,8,7,7,1,8,3.4,0,0.0,3.4
robust,opt,9,8,8,1,9,4.4,0,0.0,4.4
robust,opt,10,9,9,1,10,3.1,0,0.0,3.1
robust,opt,11,10,10,2,1,2.3,0,0.0,2.3
robust,opt,12,11,11,2,2,4.0,0,0.0,4.0
robust,opt,13,12,12,2,3,2.8,0,0.0,2.8
robust,opt,14,13,13,2,4,3.8,0,0.0,3.8
robust,opt,15,14,14,2,5,2.5,0,0.0,2.5
robust,opt,16,15,15,2,6,3.2,0,0.0,3.2
robust,opt,17,16,16,2,7,2.6,0,0.0,2.6
robust,opt,18,17,17,2,8,2.8,0,0.0,2.8
robust,opt,19,18,18,2,9,3.0,0,0.0,3.0
robust,opt,20,19,19,2,10,3.9,0,0.0,3.9
robust,opt,21,20,20,3,1,2.3,0,0.0,2.3
robust,opt,22,21,21,3,2,2.5,0,0.0,2.5
robust,opt,23,22,22,3,3,2.6,0,0.0,2.6
robust,opt,24,23,23,3,4,2.0,0,0.0,2.0
robust,opt,25,24,24,3,5,1.8,0,0.0,1.8
robust,opt,26,25,25,3,6,2.8,0,0.0,2.8
robust,opt,27,26,26,3,7,3.9,0,0.0,3.9
robust,opt,28,27,27,3,8,3.1,0,0.0,3.1
robust,opt,29,28,28,3,9,5.3,0,0.0,5.3
robust,opt,30,29,29,3,10,2.8,0,0.0,2.8
robust,opt,31,30,30,4,1,2.7,0,0.0,2.7
robust,opt,32,31,31,4,2,3.0,0,0.0,3.0
robust,opt,33,32,32,4,3,3.6,0,0.0,3.6
robust,opt,34,33,33,4,4,3.4,0,0.0,3.4
robust,opt,35,34,34,4,5,3.5,0,0.0,3.5
robust,opt,36,35,35,4,6,4.0,0,0.0,4.0
robust,opt,37,36,36,4,7,4.8,0,0.0,4.8
robust,opt,38,37,37,4,8,4.4,0,0.0,4.4
robust,opt,39,38,38,4,9,4.4,0,0.0,4.4
robust,opt,40,39,39,4,10,1.8,0,0.0,1.8
robust,opt,41,40,40,5,1,3.6,0,0.0,3.6
robust,opt,42,41,41,5,2,1.7,0,0.0,1.7
robust,opt,43,42,42,5,3,5.0,0,0.0,5.0
robust,opt,44,43,43,5,4,4.6,0,0.0,4.6
robust,opt,45,44,44,5,5,2.1,0,0.0,2.1
robust,opt,46,45,45,5,6,3.1,0,0.0,3.1
robust,opt,47,46,46,5,7,3.4,0,0.0,3.4
robust,opt,48,47,47,5,8,2.3,0,0.0,2.3
robust,opt,49,48,48,5,9,3.3,0,0.0,3.3
robust,opt,50,49,49,5,10,3.1,0,0.0,3.1
robust,opt,51,50,50,6,1,2.2,0,0.0,2.2
