,m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time,find_time
0,3,50,diabetes,original,13.938978924157016,6.06648750728438,0.564782503776455,13.938978924157016,13.938978924157016,0.0,23088.0,0.7799909114837646,0.0
1,3,50,diabetes,opt,13.93897892415702,5.744195773809704,0.5879041208782736,13.93897892415702,13.93897892415702,0.0,12315.0,1.7564480304718018,0.0
2,3,50,diabetes,opt_feasibility,13.93897892415702,5.744195773809704,0.5879041208782736,13.93897892415702,13.93897892415702,0.0,12315.0,1.654170036315918,4.292406320571899
3,3,60,diabetes,original,18.7990071774505,7.754565541178833,0.5875013255763596,18.7990071774505,18.79841414111017,3.1546152130732815e-05,578529.0,13.65054702758789,0.0
4,3,60,diabetes,opt,19.20692587621429,7.752854219953814,0.5963511147010313,18.799007177450505,18.799007177450505,0.0,92933.0,11.29397988319397,0.0
5,3,60,diabetes,opt_feasibility,19.20692587621429,7.752854219953814,0.5963511147010313,18.799007177450505,18.799007177450505,0.0,92933.0,11.257369995117188,6.229328155517578
6,3,70,diabetes,original,22.81231592018474,8.725710494670878,0.6175000151146331,22.81231592018474,22.81231592018474,0.0,11333688.0,299.70791697502136,0.0
7,3,70,diabetes,opt,22.81231592018474,8.53194693177824,0.6259938288760493,22.81231592018474,22.81231592018474,0.0,83232.0,14.260092973709106,0.0
8,3,70,diabetes,opt_feasibility,22.81231592018474,8.53194693177824,0.6259938288760493,22.81231592018474,22.81231592018474,0.0,259377.0,43.51664996147156,8.40296721458435
9,3,80,diabetes,original,26.031781969164435,9.64526302489988,0.6294812611627958,26.031781969164435,23.48923166987091,0.09767100470898474,10314461.0,300.00428199768066,0.0
10,3,80,diabetes,opt,26.282319049591145,9.821166742746271,0.6263203896043165,26.03178196916445,26.03178196916445,0.0,486040.0,106.92463493347168,0.0
11,3,80,diabetes,opt_feasibility,26.282319049591145,9.821166742746271,0.6263203896043165,26.03178196916445,26.03178196916445,0.0,486040.0,106.42810010910034,12.762762784957886
12,3,90,diabetes,original,28.750312456094065,10.53315762249344,0.6336332817746202,28.750312456094065,24.28775882732787,0.1552175697422825,9258867.0,300.004595041275,0.0
13,3,90,diabetes,opt,28.750312456094065,10.994492273394819,0.6175870335258089,28.750312456094065,28.750312456094065,0.0,150897.0,34.961085081100464,0.0
14,3,90,diabetes,opt_feasibility,28.750312456094065,10.994492273394819,0.6175870335258089,28.750312456094065,28.750312456094065,0.0,150897.0,35.13375401496887,16.957897424697876
15,3,100,diabetes,original,31.345309329945195,11.389549788181602,0.6366426099582052,31.345309329945195,25.243731427125333,0.19465680936799135,8174316.0,300.0050938129425,0.0
16,3,100,diabetes,opt,31.345309329945188,11.871252484389926,0.621274993351272,31.345309329945188,31.345309329945188,0.0,1029340.0,291.7782690525055,0.0
17,3,100,diabetes,opt_feasibility,31.345309329945188,11.871252484389926,0.621274993351272,31.345309329945188,31.345309329945188,0.0,1029340.0,293.65999698638916,20.586368799209595
18,3,120,diabetes,original,38.115533930827965,15.17507029590971,0.6018665165900754,38.115533930827965,28.970608543990593,0.2399264668162218,6712955.0,300.0081629753113,0.0
19,3,120,diabetes,opt,38.170374529622165,15.483739405263188,0.5943519130720866,38.115533930827965,35.40271096407663,0.071173683980777,832643.0,300.01033306121826,0.0
20,3,120,diabetes,opt_feasibility,38.170374529622165,15.483739405263188,0.5943519130720866,38.11553393082796,34.3073317686231,0.09991207703179443,858501.0,300.0522711277008,29.564220905303955
21,3,150,diabetes,original,46.050356714487606,19.881341481516582,0.5682695444732171,46.050356714487606,32.686741515575264,0.29019569341811635,5317669.0,300.00579500198364,0.0
22,3,150,diabetes,opt,46.05035671448759,19.520052991577167,0.5761150535141003,46.05035671448759,35.93405028547222,0.21967921967980655,653385.0,300.0043668746948,0.0
23,3,150,diabetes,opt_feasibility,46.05035671448759,19.520052991577167,0.5761150535141003,46.05035671448759,34.67420889051999,0.24703712708459055,621344.0,300.00931215286255,46.57308006286621
24,3,200,diabetes,original,58.98550987252799,26.695434794685365,0.5474238528686766,58.88236077547572,39.540338923316135,0.32848584189605834,3998554.0,300.0092079639435,0.0
25,3,200,diabetes,opt,58.88236077547569,26.38911322198942,0.5518333016127913,58.88236077547569,42.48336041705071,0.27850446453660377,304194.0,300.07641792297363,0.0
26,3,200,diabetes,opt_feasibility,58.88236077547569,26.38911322198942,0.5518333016127913,58.88236077547569,42.107035915174556,0.28489558909275253,291517.0,300.0043489933014,82.32918787002563
