,m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
0,2,50,autompg,original,13.47703996995205,7.732484220210905,0.426247585712368,13.47703996995205,13.47703996995205,0.0,987.0,0.10189604759216309
1,2,50,autompg,opt,13.477039969952056,8.019423532678337,0.4049566113509964,13.477039969952056,13.477039969952056,0.0,185.0,0.15611004829406738
2,2,50,autompg,opt,13.477039969952056,13.330161230958238,0.010898442040781506,13.477039969952056,13.476821587002426,1.6204073751841148e-05,1.0,0.42333102226257324
3,2,60,autompg,original,15.88243354221319,7.159782599545807,0.5492011611119827,15.88243354221319,15.88243354221319,0.0,29340.0,1.01686692237854
4,2,60,autompg,opt,15.882433542213196,7.184605469821793,0.5476382475817602,15.882433542213196,15.882433542213196,0.0,424.0,0.22853803634643555
5,2,60,autompg,opt,15.882433542213198,13.917415135266719,0.1237227532999742,15.882433542213198,15.88243354221319,4.473764891706179e-16,143.0,0.5874209403991699
6,2,70,autompg,original,17.972363644709056,7.346020708176778,0.5912601784941406,17.972363644709056,17.972363644709056,0.0,78473.0,2.536233901977539
7,2,70,autompg,opt,17.97236364470904,8.41320891755025,0.5318807762924912,17.97236364470904,17.97236364470904,0.0,548.0,0.2564699649810791
8,2,70,autompg,opt,17.972363644709034,17.0501075103598,0.051315238917989524,17.972363644709034,17.972363644709034,0.0,126.0,0.599541187286377
9,2,80,autompg,original,20.92944713936033,8.515050120633628,0.5931545604651899,20.92944713936033,20.92944713936033,0.0,476643.0,14.347064971923828
10,2,80,autompg,opt,20.929447139360335,8.674372962345904,0.5855421834801978,20.929447139360335,20.929447139360335,0.0,841.0,0.33317112922668457
11,2,80,autompg,opt,20.92944713936033,17.253047498793375,0.1756567966696572,20.92944713936033,20.92944713936033,0.0,201.0,0.6964559555053711
12,2,90,autompg,original,24.143763936473537,10.261284450391074,0.5749923467860973,24.143763936473537,24.143763936473537,0.0,2228170.0,68.38316202163696
13,2,90,autompg,opt,24.14376393647353,10.261284450391068,0.5749923467860975,24.14376393647353,24.14376393647353,0.0,918.0,0.37119007110595703
14,2,90,autompg,opt,24.143763936473523,21.66028345373519,0.10286219204564813,24.143763936473526,24.143763936473523,1.4714829419921075e-16,147.0,0.782228946685791
15,2,100,autompg,original,25.330774259865535,10.412085121895444,0.588955117791543,25.330774259865535,25.330774259865535,0.0,3689803.0,126.78893303871155
16,2,100,autompg,opt,25.33077425986554,11.048002359746999,0.5638505855996822,25.33077425986554,25.33077425986554,0.0,2899.0,0.7792019844055176
17,2,100,autompg,opt,25.33077425986554,21.139832510303627,0.16544862413471914,25.330774259865528,25.33077425986554,-4.207585969169694e-16,251.0,0.9700770378112793
18,2,120,autompg,original,33.521730877854615,12.743576034984912,0.6198413476493939,33.521730877854615,28.695407587354726,0.14397595721073855,7488890.0,300.00506806373596
19,2,120,autompg,opt,33.5217308778546,13.558026220318986,0.5955451623389829,33.5217308778546,33.5217308778546,0.0,6372.0,1.6624619960784912
20,2,120,autompg,opt,33.52173087785461,28.317579711192092,0.15524708988402874,33.52173087785461,33.52173087785461,0.0,348.0,1.726811170578003
21,2,150,autompg,original,48.2456845307982,19.004055641409437,0.6060983313589846,48.2456845307982,33.93439988535204,0.2966334664877722,6348617.0,300.0041959285736
22,2,150,autompg,opt,48.245684530798215,19.76397355987646,0.5903473284276879,48.245684530798215,48.245684530798215,0.0,3739.0,2.3202078342437744
23,2,150,autompg,opt,48.245684530798215,39.30866971248834,0.1852396728375742,48.2456845307982,48.245684530798215,-2.9455183097527277e-16,729.0,2.4851009845733643
24,2,200,autompg,original,72.39194155814987,27.38980396553089,0.6216456780133514,72.31378135708587,40.827826996171844,0.4354073839042686,4555752.0,300.0042381286621
25,2,200,autompg,opt,72.33435830790556,29.249302419323854,0.5956374936676926,72.31378135708589,72.31378135708589,0.0,3168.0,3.458035945892334
