m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
2,50,autompg,original,13.47703997,7.73248422,0.426247586,13.47703997,13.47703997,0,987,0.223748922
2,50,autompg,opt,13.47703997,8.019423533,0.404956611,13.47703997,13.47703997,0,185,0.21826005
2,60,autompg,original,15.88243354,7.1597826,0.549201161,15.88243354,15.88243354,0,29340,1.465559959
2,60,autompg,opt,15.88243354,7.18460547,0.547638248,15.88243354,15.88243354,0,424,0.307034969
2,70,autompg,original,17.97236364,7.346020708,0.591260178,17.97236364,17.97236364,0,78473,3.621645212
2,70,autompg,opt,17.97236364,8.413208918,0.531880776,17.97236364,17.97236364,0,548,0.340205908
2,80,autompg,original,20.92944714,8.515050121,0.59315456,20.92944714,20.92944714,0,476643,20.2873292
2,80,autompg,opt,20.92944714,8.674372962,0.585542183,20.92944714,20.92944714,0,841,0.442434072
2,90,autompg,original,24.14376394,10.26128445,0.574992347,24.14376394,24.14376394,0,2228170,98.17673993
2,90,autompg,opt,24.14376394,10.26128445,0.574992347,24.14376394,24.14376394,0,918,0.485981941
2,100,autompg,original,25.33077426,10.41208512,0.588955118,25.33077426,25.33077426,0,3689803,176.8724411
2,100,autompg,opt,25.33077426,11.04800236,0.563850586,25.33077426,25.33077426,0,2899,1.04299283
2,120,autompg,original,33.52173088,12.74357603,0.619841348,33.52173088,28.35545747,0.154117143,5390627,300.0080481
2,120,autompg,opt,33.52173088,13.55802622,0.595545162,33.52173088,33.52173088,0,6372,2.294647932
2,150,autompg,original,48.24568453,19.00405564,0.606098331,48.24568453,33.54584597,0.304687118,4484282,300.0046802
2,150,autompg,opt,48.24568453,19.76397356,0.590347328,48.24568453,48.24568453,0,3739,3.261749983
2,200,autompg,original,72.39194156,27.38980397,0.621645678,72.31378136,40.54998749,0.439249522,3630922,300.0060151
2,200,autompg,opt,72.33435831,29.24930242,0.595637494,72.31378136,72.31378136,0,3168,4.594614983
3,50,autompg,original,9.0480644,4.837057685,0.465404149,9.0480644,9.0480644,0,165,0.112058878
3,50,autompg,opt,9.0480644,5.442535797,0.398486178,9.0480644,9.048020312,4.87E-06,89,0.184952021
3,60,autompg,original,10.50262184,4.837978606,0.539355156,10.50262184,10.50262184,0,1760,0.213298082
