,m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
0,3,50,diabetes,original,13.938978924157016,6.06648750728438,0.564782503776455,13.938978924157016,13.938978924157016,0.0,23088.0,0.7591531276702881
1,3,50,diabetes,opt,13.93897892415702,5.744195773809704,0.5879041208782736,13.93897892415702,13.93897892415702,0.0,12315.0,1.7031569480895996
2,3,60,diabetes,original,18.7990071774505,7.754565541178833,0.5875013255763596,18.7990071774505,18.79841414111017,3.1546152130732815e-05,578529.0,14.742751121520996
3,3,60,diabetes,opt,19.20692587621429,7.752854219953814,0.5963511147010313,18.799007177450505,18.799007177450505,0.0,92933.0,12.593581914901733
4,3,70,diabetes,original,22.81231592018474,8.725710494670878,0.6175000151146331,22.81231592018474,22.33033936873791,0.021127909727936454,9792363.0,300.00886607170105
5,3,70,diabetes,opt,22.81231592018474,8.53194693177824,0.6259938288760493,22.81231592018474,22.81231592018474,0.0,83232.0,16.740877151489258
6,3,80,diabetes,original,26.031781969164435,9.64526302489988,0.6294812611627958,26.031781969164435,23.345721048186604,0.10318390512641679,8870192.0,300.0031168460846
7,3,80,diabetes,opt,26.282319049591145,9.821166742746271,0.6263203896043165,26.03178196916445,26.03178196916445,0.0,486040.0,123.8837251663208
8,3,90,diabetes,original,28.750312456094065,10.53315762249344,0.6336332817746202,28.750312456094065,24.129098169069962,0.1607361413578156,7837892.0,300.00649905204773
9,3,90,diabetes,opt,28.750312456094065,10.994492273394819,0.6175870335258089,28.750312456094065,28.750312456094065,0.0,150897.0,41.526219844818115
10,3,100,diabetes,original,31.345309329945195,11.389549788181602,0.6366426099582052,31.345309329945195,25.084456738320334,0.19973810198273156,6956184.0,300.00683403015137
11,3,100,diabetes,opt,31.345309329945188,11.871252484389926,0.621274993351272,31.345309329945188,29.823450351958705,0.04855141041892995,908650.0,300.0054278373718
12,3,120,diabetes,original,38.115533930827965,15.17507029590971,0.6018665165900754,38.115533930827965,28.81872797804684,0.2439112087384886,5738491.0,300.00502586364746
13,3,120,diabetes,opt,38.170374529622165,15.483739405263188,0.5943519130720866,38.115533930827965,35.21185341912755,0.07618102679526965,768805.0,300.00977301597595
14,3,150,diabetes,original,46.050356714487606,19.881341481516582,0.5682695444732171,46.050356714487606,32.52628153377016,0.2936801394301192,4510660.0,300.0048999786377
15,3,150,diabetes,opt,46.05035671448759,19.520052991577167,0.5761150535141003,46.05035671448759,35.512510085471604,0.22883311619822366,530527.0,300.00438499450684
16,3,200,diabetes,original,58.98550987252799,26.695434794685365,0.5474238528686766,58.88236077547572,39.2958905603659,0.33263731204315966,3168525.0,300.0050880908966
17,3,200,diabetes,opt,58.88236077547569,26.38911322198942,0.5518333016127913,58.88236077547569,41.90778414048233,0.2882794849160195,245452.0,300.0054450035095
