n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.1,0,original,0.30505711921242595,0.12481308448683244,0.5908533955573118,0.2977171372932709,0.2635589411695524,0.11473372488487417,17,14461777.0,600.0109589099884
100,0.1,0,opt,inf,-inf,,0.29771713729327093,0.297717137293271,-1.8645601571996744e-16,17,1.0,0.10229110717773438
200,0.1,0,original,0.3465675449263089,0.1422271042413346,0.5896121655835472,0.34580815429195266,0.22482721696116933,0.3498498685737865,22,9187313.0,600.0059499740601
200,0.1,0,opt,inf,-inf,,0.34580815429195266,0.3458081542919536,-2.72893961353688e-15,22,1.0,0.12232089042663574
300,0.1,0,original,0.36965755552730273,0.15705128712772148,0.5751438465698512,0.3685338430765388,0.21982471707201376,0.4035155218394432,25,6483913.0,600.0061209201813
300,0.1,0,opt,inf,-inf,,0.3685338430765387,0.3685338430765387,0.0,25,1.0,0.12411117553710938
500,0.1,0,original,0.3988006362420394,0.1940377433249847,0.5134467558692167,0.3988006362420394,0.23388997917104534,0.41351653453959575,25,4144433.0,600.0045700073242
500,0.1,0,opt,inf,-inf,,0.39880063624203943,0.3988006362420395,-1.3919524240068435e-16,25,1.0,0.14495301246643066
1000,0.1,0,original,0.45540845391773477,0.23238478087117664,0.4897222946301415,0.45540845391773477,0.256586620635444,0.43657914465989694,37,2194800.0,600.0094268321991
1000,0.1,0,opt,inf,-inf,,0.45540845391773477,0.4554084539177349,-2.4378621324972325e-16,37,1.0,0.2289900779724121
2000,0.1,0,original,0.47271284491702037,0.29878776383087385,0.3679296701080276,0.47271284491702037,0.3097463542557268,0.34474732898341404,26,954456.0,600.0073800086975
2000,0.1,0,opt,inf,-inf,,0.47271284491702037,0.47271284491702037,0.0,26,0.0,0.34905409812927246
5000,0.1,0,original,0.4943043000143707,0.34944719179690686,0.29305249461364685,0.4943043000143707,0.3542550669473195,0.283325945299241,20,284583.0,600.0200140476227
5000,0.1,0,opt,inf,-inf,,0.49430430001437076,0.4943043000143707,1.1230157461637288e-16,20,1.0,0.9981529712677002
10000,0.1,0,original,0.5014957761101955,0.40085342804604857,0.200684338450006,0.5014957761101955,0.4028569106979353,0.1966893244392669,4,123492.0,600.0147061347961
10000,0.1,0,opt,inf,-inf,,0.5014957761101955,0.5014957761101955,0.0,4,1.0,2.1314539909362793
100,0.1,1,original,0.2742721593070706,0.11489188968276186,0.5811026172943394,0.2730098421721263,0.25546717841916067,0.06425652501533409,15,17511304.0,600.0049061775208
100,0.1,1,opt,inf,-inf,,0.2730098421721262,0.2730098421721262,0.0,15,1.0,0.07115006446838379
200,0.1,1,original,0.3596308344133151,0.13863120355794376,0.6145180271205049,0.3596308344133151,0.2276350594131601,0.36703130646593957,24,10714666.0,600.0058488845825
200,0.1,1,opt,inf,-inf,,0.3596308344133153,0.35963083441331534,-1.5435592813340406e-16,24,1.0,0.07199501991271973
300,0.1,1,original,0.37199602968338435,0.16786747348144365,0.5487385345904898,0.37199602968338435,0.23160522707805936,0.37739865859540306,30,8432801.0,600.0058150291443
300,0.1,1,opt,inf,-inf,,0.3719960296833845,0.37199602968338463,-2.984502349581785e-16,30,1.0,0.0834650993347168
500,0.1,1,original,0.4140526910400839,0.2045224643012108,0.5060472526154618,0.4140526910400839,0.24891220467840627,0.39883930218362135,28,5503443.0,600.0054860115051
500,0.1,1,opt,inf,-inf,,0.4140526910400839,0.41405269104008513,-2.9494925489312785e-15,28,1.0,0.1235959529876709
