m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
2,50,autompg,original,13.47703997,7.73248422,0.426247586,13.47703997,13.47703997,0,987,0.145061016
2,50,autompg,no_cut,15.98819857,-54.92504052,4.435348909,13.47704843,13.47704843,0,1976,2.63196516
2,50,autompg,cut,14.39990162,13.4757261,0.064179294,13.47704029,13.47576831,9.44E-05,6945,5.472937822
2,60,autompg,original,15.88243354,7.1597826,0.549201161,15.88243354,15.88243354,0,29340,1.425822973
2,60,autompg,no_cut,17.76796215,-16.30201625,1.91749499,15.88243308,15.88243308,0,45138,45.80081296
2,60,autompg,cut,19.45239265,15.8752268,0.18389336,15.88243354,15.87991627,0.000158494,149494,300.032372
2,70,autompg,original,17.97236364,7.346020708,0.591260178,17.97236364,17.97236364,0,78473,3.503942013
2,70,autompg,no_cut,21.30963186,-133.7846381,7.278129955,17.97236041,17.97236041,0,125167,144.5045249
2,70,autompg,cut,20.26654612,17.96553711,0.113537304,17.97236365,17.96807523,0.000238612,148644,300.056062
2,80,autompg,original,20.92944714,8.515050121,0.59315456,20.92944714,20.92944714,0,476643,20.04391098
2,80,autompg,no_cut,24.76700919,-150.12121,7.061337842,20.92944475,18.49417724,0.116356049,207753,300.0067198
2,80,autompg,cut,25.5408295,20.91930024,0.180946718,20.92944714,20.92522334,0.000201811,152504,300.0526099
2,90,autompg,original,24.14376394,10.26128445,0.574992347,24.14376394,24.14376394,0,2228170,93.08263493
2,90,autompg,no_cut,27.47017528,-51.37035036,2.870040866,24.14376174,19.73853748,0.182458074,167233,300.0042889
2,90,autompg,cut,28.42162641,24.13504804,0.150821009,24.14376406,24.13909964,0.000193194,115983,300.0288
2,100,autompg,original,25.33077426,10.41208512,0.588955118,25.33077426,25.33077426,0,3689803,167.2155759
2,100,autompg,no_cut,26.68128601,-59.96298509,3.24737987,25.33076939,20.11877075,0.205757613,123840,300.0076461
2,100,autompg,cut,30.84734812,25.32384293,0.17905932,25.33077546,25.32582936,0.000195261,126346,300.029526
2,120,autompg,original,33.52173088,12.74357603,0.619841348,33.52173088,28.45558529,0.151130191,5929343,300.0058391
2,120,autompg,no_cut,38.45256171,-94.43203229,3.455806013,33.52172747,23.06993268,0.311791652,102821,300.0080562
2,120,autompg,cut,45.21222404,33.52004524,0.258606584,33.98822827,33.52016065,0.013771463,122865,300.0472748
2,150,autompg,original,48.24568453,19.00405564,0.606098331,48.24568453,33.65699581,0.302383288,4950399,300.0102379
2,150,autompg,no_cut,61.45701236,-159.4189575,3.593991335,48.24568264,28.05873801,0.418419712,64972,300.0041811
2,150,autompg,cut,58.17566966,48.23819585,0.170818383,50.28784536,48.23864141,0.040749488,121637,300.0237801
2,200,autompg,original,72.39194156,27.38980397,0.621645678,72.31378136,40.72986089,0.43676212,4209959,300.010349
2,200,autompg,no_cut,76.6702826,-247.7439409,4.231290306,72.34161802,34.77126122,0.519346371,51758,300.015034
2,200,autompg,cut,84.41844182,72.30445572,0.143499286,73.42229439,72.3051021,0.015215982,104636,300.0343649
3,50,autompg,original,9.0480644,4.83705769,0.46540415,9.0480644,9.0480644,0,165,0.09625196
3,50,autompg,no_cut,9.04806981,5.01240261,0.44602521,9.04806455,9.04772575,3.74E-05,680,0.17971087
3,50,autompg,cut,9.04806503,6.22265242,0.31226705,9.04806283,9.04796644,1.07E-05,766,0.14255095
3,60,autompg,original,10.5026218,4.83797861,0.53935516,10.5026218,10.5026218,0,1760,0.17731905
3,60,autompg,no_cut,10.5026174,4.58478708,0.56346243,10.5026166,10.5025209,9.11E-06,4511,0.50385904
3,60,autompg,cut,10.5624572,5.6603141,0.4641101,10.5026155,10.5024816,1.27E-05,3732,0.45888591
3,70,autompg,original,12.2950454,5.26442854,0.5718252,12.2950454,12.2950454,0,4376,0.262429
