,m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
0,2,50,autompg,original,13.47703996995205,7.732484220210905,0.426247585712368,13.47703996995205,13.47703996995205,0.0,987.0,0.22374892234802246
1,2,50,autompg,opt,13.477039969952056,8.019423532678337,0.4049566113509964,13.477039969952056,13.477039969952056,0.0,185.0,0.2182600498199463
2,2,60,autompg,original,15.88243354221319,7.159782599545807,0.5492011611119827,15.88243354221319,15.88243354221319,0.0,29340.0,1.465559959411621
3,2,60,autompg,opt,15.882433542213196,7.184605469821793,0.5476382475817602,15.882433542213196,15.882433542213196,0.0,424.0,0.307034969329834
4,2,70,autompg,original,17.972363644709056,7.346020708176778,0.5912601784941406,17.972363644709056,17.972363644709056,0.0,78473.0,3.621645212173462
5,2,70,autompg,opt,17.97236364470904,8.41320891755025,0.5318807762924912,17.97236364470904,17.97236364470904,0.0,548.0,0.3402059078216553
6,2,80,autompg,original,20.92944713936033,8.515050120633628,0.5931545604651899,20.92944713936033,20.92944713936033,0.0,476643.0,20.28732919692993
7,2,80,autompg,opt,20.929447139360335,8.674372962345904,0.5855421834801978,20.929447139360335,20.929447139360335,0.0,841.0,0.44243407249450684
8,2,90,autompg,original,24.143763936473537,10.261284450391074,0.5749923467860973,24.143763936473537,24.143763936473537,0.0,2228170.0,98.17673993110657
9,2,90,autompg,opt,24.14376393647353,10.261284450391068,0.5749923467860975,24.14376393647353,24.14376393647353,0.0,918.0,0.48598194122314453
10,2,100,autompg,original,25.330774259865535,10.412085121895444,0.588955117791543,25.330774259865535,25.330774259865535,0.0,3689803.0,176.8724410533905
11,2,100,autompg,opt,25.33077425986554,11.048002359746999,0.5638505855996822,25.33077425986554,25.33077425986554,0.0,2899.0,1.0429928302764893
12,2,120,autompg,original,33.521730877854615,12.743576034984912,0.6198413476493939,33.521730877854615,28.355457473860472,0.1541171433783906,5390627.0,300.00804805755615
13,2,120,autompg,opt,33.5217308778546,13.558026220318986,0.5955451623389829,33.5217308778546,33.5217308778546,0.0,6372.0,2.2946479320526123
14,2,150,autompg,original,48.2456845307982,19.004055641409437,0.6060983313589846,48.2456845307982,33.54584596973211,0.3046871176982114,4484282.0,300.00468015670776
15,2,150,autompg,opt,48.245684530798215,19.76397355987646,0.5903473284276879,48.245684530798215,48.245684530798215,0.0,3739.0,3.2617499828338623
16,2,200,autompg,original,72.39194155814987,27.38980396553089,0.6216456780133514,72.31378135708587,40.54998749120987,0.4392495215956998,3630922.0,300.00601506233215
17,2,200,autompg,opt,72.33435830790556,29.249302419323854,0.5956374936676926,72.31378135708589,72.31378135708589,0.0,3168.0,4.5946149826049805
