n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.2,0,tree,,,,0.2842929236168658,,,17,0.0,0.14220523834228516
100,0.2,0,opt,inf,-inf,,0.28429292361686576,0.2842929236168659,-5.857812131764712e-16,17,1.0,0.09462594985961914
100,0.2,1,tree,,,,0.2610806438414305,,,16,0.0,0.06563591957092285
100,0.2,1,opt,inf,-inf,,0.2610806438414304,0.26108064384143054,-4.252414151772431e-16,16,1.0,0.10664200782775879
100,0.2,2,tree,,,,0.30120697207411157,,,20,0.0,0.0638885498046875
100,0.2,2,opt,inf,-inf,,0.30120697207428304,0.30120697207428304,0.0,20,1.0,0.11816096305847168
100,0.2,3,tree,,,,0.27839106321412155,,,15,0.0,0.06436824798583984
100,0.2,3,opt,inf,-inf,,0.27839106321412155,0.27839106321412155,0.0,15,1.0,0.040205955505371094
100,0.2,4,tree,,,,0.28643098087388236,,,17,0.0,0.06239724159240723
100,0.2,4,opt,inf,-inf,,0.2864309808738825,0.28643098087388247,1.9380288773894803e-16,17,1.0,0.03692007064819336
200,0.2,0,tree,,,,0.2992538106167788,,,30,0.0,0.12986111640930176
200,0.2,0,opt,inf,-inf,,0.2992538106170111,0.2992538106170125,-4.637464024000492e-15,30,1.0,0.13693690299987793
200,0.2,1,tree,,,,0.3101432410585506,,,32,0.0,0.13470697402954102
200,0.2,1,opt,inf,-inf,,0.3101432410585505,0.31014324105855057,-1.7898552630646602e-16,32,1.0,0.0827791690826416
200,0.2,2,tree,,,,0.28794749680670867,,,27,0.0,0.12878894805908203
200,0.2,2,opt,inf,-inf,,0.2879474968067085,0.2879474968067087,-7.711287904478084e-16,27,1.0,0.14182686805725098
200,0.2,3,tree,,,,0.2962558420778116,,,32,0.0,0.14408040046691895
200,0.2,3,opt,inf,-inf,,0.29625584207829553,0.29625584207829553,0.0,32,1.0,0.1394050121307373
200,0.2,4,tree,,,,0.25904028020705216,,,18,0.0,0.13747596740722656
200,0.2,4,opt,inf,-inf,,0.2590402802070522,0.2590402802070526,-1.5000680909865152e-15,18,1.0,0.07577013969421387
300,0.2,0,tree,,,,0.3048442340544026,,,39,0.0,0.19868850708007812
300,0.2,0,opt,inf,-inf,,0.3048442340544026,0.30484423405440264,-1.8209677281070468e-16,39,1.0,0.12114906311035156
300,0.2,1,tree,,,,0.3026974336254162,,,41,0.0,0.17145395278930664
300,0.2,1,opt,inf,-inf,,0.3026974336255561,0.3026974336255559,7.335529814887883e-16,41,1.0,0.0925900936126709
300,0.2,2,tree,,,,0.3029539881392437,,,40,0.0,0.1946723461151123
300,0.2,2,opt,0.30295398813925334,0.3016559952708345,0.004284455459362488,0.30295398813925334,0.3029539881392529,1.4658635543227648e-15,40,1.0,0.16411805152893066
300,0.2,3,tree,,,,0.3248029689527927,,,37,0.0,0.18388056755065918
300,0.2,3,opt,inf,-inf,,0.3248029689527925,0.3248029689527925,0.0,37,1.0,0.10117101669311523
300,0.2,4,tree,,,,0.30411723084266296,,,39,0.0,0.1795971393585205
300,0.2,4,opt,0.3050993397701939,0.30305309918094653,0.006706801105464909,0.30411723084266307,0.30411723084266296,3.6506416343095576e-16,39,1.0,0.18464303016662598
500,0.2,0,tree,,,,0.3188934229912549,,,59,0.0,0.3197915554046631
500,0.2,0,opt,inf,-inf,,0.318893422991255,0.31889342299125245,8.007418066781154e-15,59,1.0,0.19437789916992188
500,0.2,1,tree,,,,0.33038695138952184,,,63,0.0,0.3096649646759033
500,0.2,1,opt,inf,-inf,,0.33038695139030083,0.3303869134446102,1.1485226788016952e-07,63,1.0,0.17175984382629395
500,0.2,2,tree,,,,0.3263735474012539,,,58,0.0,0.31716084480285645
500,0.2,2,opt,inf,-inf,,0.32637354740158847,0.32637354740154767,1.250122642591834e-13,58,1.0,0.15614795684814453
500,0.2,3,tree,,,,0.31227975267183217,,,51,0.0,0.3190267086029053
500,0.2,3,opt,inf,-inf,,0.3122797526722486,0.3122797526722466,6.399394860616187e-15,51,1.0,0.18917608261108398
500,0.2,4,tree,,,,0.3247601817613118,,,60,0.0,0.3265984058380127
500,0.2,4,opt,inf,-inf,,0.3247601817613117,0.32476012044937985,1.8879140765456796e-07,60,1.0,0.16000103950500488
1000,0.2,0,tree,,,,0.34724057505061195,,,103,0.0,0.6634659767150879
1000,0.2,0,opt,inf,-inf,,0.34724057505101175,0.34724057505100825,1.0071410943422965e-14,103,1.0,0.3182699680328369
1000,0.2,1,tree,,,,0.3558754861749625,,,121,0.0,0.6707947254180908
1000,0.2,1,opt,inf,-inf,,0.35587548617509523,0.3558754861750905,1.3258704344517226e-14,121,1.0,0.29028892517089844
1000,0.2,2,tree,,,,0.33150811586968204,,,114,0.0,0.6983015537261963
1000,0.2,2,opt,inf,-inf,,0.3315081082883121,0.33150810828831223,-3.349007149048666e-16,115,1.0,0.3009450435638428
1000,0.2,3,tree,,,,0.348757442828292,,,112,0.0,0.6885008811950684
1000,0.2,3,opt,inf,-inf,,0.34875743879382737,0.3487574387938239,9.868438615219293e-15,112,1.0,0.31165003776550293
1000,0.2,4,tree,,,,0.3434599400700156,,,120,0.0,0.6795656681060791
1000,0.2,4,opt,inf,-inf,,0.3434599400702585,0.3434599400702541,1.2768245829112679e-14,120,1.0,0.2918398380279541
2000,0.2,0,tree,,,,0.35629203526171316,,,189,0.0,1.2522995471954346
2000,0.2,0,opt,inf,-inf,,0.35629203526216,0.35629203526216,0.0,189,1.0,0.5132369995117188
2000,0.2,1,tree,,,,0.3573316167423325,,,194,0.0,1.3199312686920166
2000,0.2,1,opt,inf,-inf,,0.35733160105732925,0.3573165475355245,4.2127597335949094e-05,196,1.0,0.572969913482666
2000,0.2,2,tree,,,,0.35312334773619414,,,187,0.0,1.2697203159332275
2000,0.2,2,opt,inf,-inf,,0.35342614797155375,0.3534201229370308,1.7047506409869813e-05,187,1.0,0.5435130596160889
2000,0.2,3,tree,,,,0.3544348497879766,,,202,0.0,1.2515099048614502
2000,0.2,3,opt,inf,-inf,,0.3544348497886921,0.3544348497883738,8.980520435555303e-13,202,1.0,0.45258283615112305
2000,0.2,4,tree,,,,0.3460826741242636,,,188,0.0,1.2454133033752441
2000,0.2,4,opt,inf,-inf,,0.3466871831431764,0.34668718314317637,1.6011884468290995e-16,189,1.0,0.6433300971984863
5000,0.2,0,tree,,,,0.3720611194767859,,,435,0.0,3.4412484169006348
5000,0.2,0,opt,0.3720611194777514,0.3720181248969163,0.0001155578440859799,0.37206111947775145,0.37206110641288553,3.511483793224181e-08,435,1.0,1.5882468223571777
5000,0.2,1,tree,,,,0.3600447194011948,,,409,0.0,3.9126009941101074
5000,0.2,1,opt,inf,-inf,,0.360044719401941,0.36004471940194105,-1.5417849017051455e-16,409,1.0,1.6305580139160156
5000,0.2,2,tree,,,,0.3682079299554218,,,428,0.0,3.6566195487976074
5000,0.2,2,opt,inf,-inf,,0.36820790620962435,0.3681751372979082,8.899567652821584e-05,431,1.0,1.710381031036377
5000,0.2,3,tree,,,,0.37014256969576614,,,450,0.0,3.378147840499878
5000,0.2,3,opt,inf,-inf,,0.37015811143145294,0.370147340004408,2.9099529936721767e-05,449,1.0,1.508457899093628
5000,0.2,4,tree,,,,0.365007367566905,,,400,0.0,3.6047165393829346
5000,0.2,4,opt,inf,-inf,,0.36500736756709484,0.3649956264620347,3.216676183386515e-05,400,1.0,1.616070032119751
10000,0.2,0,tree,,,,0.3809076972227844,,,772,0.0,7.540066480636597
10000,0.2,0,opt,inf,-inf,,0.3809076972248414,0.38088182193959624,6.793059167270055e-05,772,1.0,3.4639201164245605
10000,0.2,1,tree,,,,0.3824901768664545,,,751,0.0,7.243020057678223
10000,0.2,1,opt,inf,-inf,,0.3824901768676777,0.3824521962454035,9.929829462617687e-05,751,1.0,3.398616075515747
10000,0.2,2,tree,,,,0.38175832220001304,,,767,0.0,8.302432537078857
10000,0.2,2,opt,inf,-inf,,0.381758322200904,0.3817242714350431,8.919456074873166e-05,767,1.0,5.389130115509033
10000,0.2,3,tree,,,,0.38382446181882657,,,769,0.0,8.945140361785889
10000,0.2,3,opt,inf,-inf,,0.38382445295259676,0.38381867539244,1.5052610932666285e-05,770,1.0,5.874804973602295
10000,0.2,4,tree,,,,0.37854010234883284,,,768,0.0,8.89437222480774
10000,0.2,4,opt,inf,-inf,,0.37854009227887314,0.3785351716734567,1.29989016139234e-05,769,1.0,5.364129066467285
