n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
1000,0.1,0,original,0.462061515255436,0.2559152593849482,0.4461446129235117,0.462061515255436,0.28032842698401056,0.3933092938306279,35,2589812.0,720.0084149837494
1000,0.1,0,opt,inf,-inf,,0.46206151525543604,0.46206151525543604,0.0,35,1.0,0.15546202659606934
1000,0.1,1,original,0.4575730779521671,0.2265346522053822,0.504921370769407,0.4575730779521671,0.25149803462937476,0.4503653148587003,31,2495418.0,720.0046501159668
1000,0.1,1,opt,inf,-inf,,0.45757307795216706,0.4575366896912209,7.952447969405178e-05,31,1.0,0.2771329879760742
1000,0.1,2,original,0.4431864021718126,0.24215899665170773,0.45359560793151643,0.4431864021718126,0.26642356043236065,0.39884536365112866,34,2518101.0,720.0071351528168
1000,0.1,2,opt,inf,-inf,,0.44318640217181254,0.4431864021718143,-4.0081483337379115e-15,34,1.0,0.1721789836883545
1000,0.1,3,original,0.45732302476036096,0.24667525058897305,0.4606104717377135,0.45732302476036096,0.2688522367528695,0.41211742642140287,41,2349180.0,720.0082471370697
1000,0.1,3,opt,inf,-inf,,0.4573230247603609,0.4573230247603609,0.0,41,1.0,0.17285990715026855
1000,0.1,4,original,0.45068720345379787,0.2530275569145748,0.4385739045273029,0.45068720345379787,0.27514332602758074,0.38950268851867453,32,2321201.0,720.0068140029907
1000,0.1,4,opt,inf,-inf,,0.45068720345379787,0.45068720345379787,0.0,32,1.0,0.17616009712219238
