n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.2,0,original,0.29242256516404486,0.11743975885838889,0.5983902309573583,0.28429292361686587,0.2519578010468837,0.11373875282790846,17,22164795.0,600.0026640892029
100,0.2,0,opt,inf,-inf,,0.28429292361686576,0.2842929236168659,-5.857812131764712e-16,17,1.0,0.0876779556274414
200,0.2,0,original,0.30820049272528466,0.11233220482003194,0.6355223061886551,0.2992538106167789,0.18331376006870892,0.38743049022203274,30,14309567.0,600.0022220611572
200,0.2,0,opt,inf,-inf,,0.2992538106170111,0.2992538106170125,-4.637464024000492e-15,30,1.0,0.1035909652709961
300,0.2,0,original,0.3078450149305645,0.11222177380799307,0.6354601557108044,0.30484423405440275,0.16127880907847883,0.47094682771760454,39,9556281.0,600.0021028518677
300,0.2,0,opt,inf,-inf,,0.3048442340544026,0.30484423405440264,-1.8209677281070468e-16,39,1.0,0.09852480888366699
500,0.2,0,original,0.32034272698783695,0.12286474915024152,0.6164584402913366,0.3188934229912551,0.15215080441792314,0.5228788258135524,59,5906913.0,600.0032379627228
500,0.2,0,opt,inf,-inf,,0.318893422991255,0.31889342299125245,8.007418066781154e-15,59,1.0,0.1473701000213623
1000,0.2,0,original,0.34776801818098,0.12260484797497961,0.6474522050179569,0.3472405750506118,0.13626867539876292,0.6075669573496669,103,3105691.0,600.002711057663
1000,0.2,0,opt,inf,-inf,,0.34724057505101175,0.34724057505100825,1.0071410943422965e-14,103,1.0,0.25408196449279785
2000,0.2,0,original,0.3567548515204416,0.13799440524173173,0.6131954347540952,0.3562920352617134,0.14313481150183346,0.5982654751271828,189,1253464.0,600.0062251091003
2000,0.2,0,opt,inf,-inf,,0.35629203526216,0.35629203526216,0.0,189,1.0,0.42015814781188965
5000,0.2,0,original,0.3727890221234631,0.1312475664219352,0.6479307097769965,0.372061119476786,0.13265763212216147,0.6434520427484808,435,345856.0,600.0105681419373
5000,0.2,0,opt,0.3720611194777514,0.3720181248969163,0.0001155578440859799,0.37206111947775145,0.37206110641288553,3.511483793224181e-08,435,1.0,1.237894058227539
10000,0.2,0,original,0.38152878719515537,0.13302054901103552,0.6513485915730015,0.380907697222785,0.1334460581671926,0.6496630046067492,772,134621.0,600.007490158081
10000,0.2,0,opt,inf,-inf,,0.3809076972248414,0.38088182193959624,6.793059167270055e-05,772,1.0,2.409809112548828
