m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
2,50,autompg,original,13.47703997,7.73248422,0.426247586,13.47703997,13.47703997,0,987,0.191323042
2,50,autompg,no_cut,15.98819857,-54.92504052,4.435348909,13.47704843,13.47704843,0,1976,2.931746006
2,50,autompg,cut,14.39990162,13.4757261,0.064179294,13.47704029,13.47576831,9.44E-05,6945,5.644009113
2,60,autompg,original,15.88243354,7.1597826,0.549201161,15.88243354,15.88243354,0,29340,1.499059916
2,60,autompg,no_cut,17.76796215,-16.30201625,1.91749499,15.88243308,15.88243308,0,45138,48.19851995
2,60,autompg,cut,19.45239265,15.8752268,0.18389336,15.88243354,15.87991245,0.000158735,147526,300.064194
2,70,autompg,original,17.97236364,7.346020708,0.591260178,17.97236364,17.97236364,0,78473,3.709950924
2,70,autompg,no_cut,21.30963186,-133.7846381,7.278129955,17.97236041,17.97236041,0,125167,146.8828802
2,70,autompg,cut,20.26654612,17.96553711,0.113537304,17.97236365,17.96807732,0.000238495,150882,300.0184951
2,80,autompg,original,20.92944714,8.515050121,0.59315456,20.92944714,20.92944714,0,476643,17.84744692
2,80,autompg,no_cut,24.76700919,-150.12121,7.061337842,20.92944475,18.56705023,0.112874209,221508,300.007174
2,80,autompg,cut,25.5408295,20.91930024,0.180946718,20.92944714,20.92523666,0.000201175,163317,300.0454211
2,90,autompg,original,24.14376394,10.26128445,0.574992347,24.14376394,24.14376394,0,2228170,84.37735796
2,90,autompg,no_cut,27.47017528,-51.37035036,2.870040866,24.14376174,19.75678445,0.181702311,169682,300.003453
2,90,autompg,cut,28.42162641,24.13504804,0.150821009,24.14376406,24.1390913,0.000193539,110258,300.042825
2,100,autompg,original,25.33077426,10.41208512,0.588955118,25.33077426,25.33077426,0,3689803,177.2323811
2,100,autompg,no_cut,26.68128601,-59.96298509,3.24737987,25.33076939,20.09708268,0.206613807,122498,300.0045149
2,100,autompg,cut,30.84734812,25.32384293,0.17905932,25.33077546,25.32582853,0.000195293,125268,300.012542
2,120,autompg,original,33.52173088,12.74357603,0.619841348,33.52173088,28.37479708,0.153540216,5490734,300.0113492
2,120,autompg,no_cut,38.45256171,-94.43203229,3.455806013,33.52172747,22.83625383,0.318762619,85289,300.0127709
2,120,autompg,cut,45.21222404,33.52004524,0.258606584,33.98823012,33.52015988,0.013771539,116883,300.0613589
2,150,autompg,original,48.24568453,19.00405564,0.606098331,48.24568453,33.39285763,0.307858144,3901418,300.8345101
2,150,autompg,no_cut,61.45701236,-159.4189575,3.593991335,48.41011215,22.45891473,0.536069765,2144,300.4551172
2,150,autompg,cut,58.17566966,48.23819585,0.170818383,50.32697957,48.23861795,0.041495866,44081,300.015435
2,200,autompg,original,72.39194156,27.38980397,0.621645678,72.31378136,40.47895538,0.440231798,3415303,300.0099611
2,200,autompg,no_cut,76.6702826,-247.7439409,4.231290306,72.34161861,32.66330623,0.548485272,14736,300.0159249
2,200,autompg,cut,84.41844182,72.30445572,0.143499286,75.9906729,72.30509981,0.048500335,88515,300.035275
3,50,autompg,original,9.0480644,4.837057685,0.465404149,9.0480644,9.0480644,0,165,0.114205122
3,50,autompg,no_cut,9.04806981,5.012402614,0.446025205,9.048064546,9.047725749,3.74E-05,680,0.256264925
3,50,autompg,cut,9.04806503,6.222652416,0.312267054,9.048062826,9.047966443,1.07E-05,766,0.16544795
3,60,autompg,original,10.50262184,4.837978606,0.539355156,10.50262184,10.50262184,0,1760,0.20759201
3,60,autompg,no_cut,10.50261745,4.584787076,0.563462432,10.50261659,10.50252087,9.11E-06,4511,0.671047926
3,60,autompg,cut,80.5690487,80.00335554,0.007021222,80.00687922,80.00337759,4.38E-05,141,0.053658962
3,70,autompg,original,12.29504537,5.264428541,0.571825204,12.29504537,12.29504537,0,4376,0.338168859
3,70,autompg,no_cut,12.29504884,5.244470855,0.573448555,12.29504125,12.29432401,5.83E-05,9286,0.965121031
3,70,autompg,cut,12.29504685,5.303864582,0.568617782,12.29503993,12.2938796,9.44E-05,10161,0.99851799
3,80,autompg,original,16.61570097,6.89998554,0.584730999,16.61570097,16.61570097,0,41269,2.198649168
3,80,autompg,no_cut,16.69289152,6.629691353,0.602843441,16.61569483,16.61569483,-1.85E-10,101969,8.575658083
3,80,autompg,cut,17.01646701,8.881746647,0.4780499,16.61569171,16.61569171,-1.85E-10,203387,10.69103813
3,90,autompg,original,18.84914609,7.921447466,0.579745022,18.84914609,18.84914609,0,116639,4.455181122
3,90,autompg,no_cut,18.88116888,7.836437972,0.584960125,18.84913951,18.84832255,4.33E-05,220871,10.80013204
3,90,autompg,cut,18.85539963,9.639953839,0.488743064,18.84914066,18.84908908,2.74E-06,262312,12.58467293
3,100,autompg,original,19.46279522,8.411584518,0.567812104,19.46279522,19.46279522,0,128209,6.723699093
3,100,autompg,no_cut,19.52270343,7.995287879,0.590462053,19.46278776,19.46278776,0,221118,19.69163895
3,100,autompg,cut,19.46279581,10.05374863,0.483437594,19.46278625,19.46178466,5.15E-05,718481,42.89467907
3,120,autompg,original,26.38198859,10.61879705,0.597498232,26.38198859,26.38158321,1.54E-05,4033743,179.457433
3,120,autompg,no_cut,26.56858637,10.54720456,0.603019731,26.38198053,23.80353212,0.09773521,2223959,300.0030448
3,120,autompg,cut,41.31999139,34.4501983,0.166258338,35.78419484,35.323544,0.012873025,5144520,300.003247
3,150,autompg,original,38.0538048,15.92968179,0.581390563,38.0538048,30.44145541,0.200041742,3962384,300.6342609
3,150,autompg,no_cut,38.40787553,15.92780578,0.585298443,38.05380337,28.10936093,0.261325848,940943,300.00646
3,150,autompg,cut,38.30513028,19.26781362,0.496991304,38.05380322,28.67182393,0.246545115,2581234,300.0053258
3,200,autompg,original,58.52794227,24.03981807,0.589259128,58.52045061,38.12656926,0.34849153,4000495,300.0037961
3,200,autompg,no_cut,59.39629741,23.9933123,0.596047004,58.52044262,35.72981325,0.389447317,1019401,300.0481141
3,200,autompg,cut,61.29949703,29.67819087,0.515849357,58.52044542,35.68151773,0.390272622,1025377,300.240015
2,50,diabetes,original,18.52573732,7.161839443,0.613411368,18.52573732,18.52573732,0,175326,4.234263182
2,50,diabetes,no_cut,19.8885593,-27.85454491,2.400531054,18.52573069,18.52573069,0,300585,180.5972941
2,50,diabetes,cut,22.2651567,18.52427419,0.168015099,18.54541323,18.52462765,0.001120794,120661,300.0210471
2,60,diabetes,original,22.06820819,8.623957193,0.609213529,22.06820819,22.06812422,3.81E-06,2200400,59.42757607
2,60,diabetes,no_cut,22.84317085,-42.39668401,2.855989446,22.06820071,18.68551974,0.153283044,379337,300.0072608
2,60,diabetes,cut,26.43791796,22.06756564,0.165306221,22.06820879,22.06769267,2.34E-05,60482,86.471802
2,70,diabetes,original,25.14878019,9.122813367,0.637246288,25.14726804,24.43950988,0.028144535,10346590,300.0060141
2,70,diabetes,no_cut,28.25940938,-55.49843371,2.963892202,25.14725984,19.4883808,0.225029649,263475,300.004236
2,70,diabetes,cut,27.09287165,25.13333306,0.072326722,25.14726804,25.13760905,0.000384097,149011,300.0184262
2,80,diabetes,original,30.09988587,10.12315082,0.663681422,30.07961478,25.65415194,0.147124984,8445902,300.007416
2,80,diabetes,no_cut,34.28031644,-72.41407706,3.112409819,30.07960637,20.9749389,0.302685725,224734,300.0073829
2,80,diabetes,cut,32.65523052,30.07870451,0.078900867,30.11502053,30.07872243,0.001205315,94984,300.2337439
2,90,diabetes,original,33.39565008,11.17993806,0.665227716,33.39146331,26.74295197,0.199108116,8117627,300.0273259
2,90,diabetes,no_cut,38.70299498,-90.17623847,3.329955047,33.39145873,21.484302,0.356592889,120744,300.048945
2,90,diabetes,cut,41.26066805,33.39013664,0.190751429,34.03315306,33.39018898,0.018892286,56612,300.403954
2,100,diabetes,original,36.47675372,12.5723774,0.65533179,36.47675372,28.08291981,0.230114609,6522192,300.0217278
2,100,diabetes,no_cut,41.10795479,-104.8431137,3.550433712,36.47675113,22.72425439,0.377020878,96343,300.0584168
2,100,diabetes,cut,47.57362168,36.46974467,0.233404072,36.91721039,36.46999743,0.012113942,57785,300.253695
2,120,diabetes,original,46.80938238,16.13718889,0.655257385,46.80938238,31.71449068,0.322475772,5360953,300.003669
2,120,diabetes,no_cut,52.3431912,-113.3009661,3.164578878,46.80938104,26.27462874,0.438688824,96201,300.0138741
2,120,diabetes,cut,54.02964943,46.80871351,0.133647655,47.05802972,46.80874548,0.005297379,61658,300.1989942
2,150,diabetes,original,59.39876797,21.41137563,0.639531654,59.39160595,36.54480941,0.384680565,4684041,300.008018
2,150,diabetes,no_cut,69.79369744,-158.4279662,3.2699466,59.39876799,29.43160631,0.504508135,28056,300.0179751
2,150,diabetes,cut,73.41654587,59.37686558,0.19123319,62.97851549,59.37958114,0.05714543,67030,300.3704479
2,200,diabetes,original,78.2052811,28.21977783,0.639157645,78.2052811,43.41083619,0.444911704,3597424,300.011
2,200,diabetes,no_cut,97.22383103,-233.2837735,3.399450536,78.20527106,37.29696733,0.52308883,49848,300.009423
2,200,diabetes,cut,97.33195555,78.20393501,0.196523541,80.97059371,78.20404968,0.034167269,109519,300.045486
3,50,diabetes,original,13.93897892,6.066487507,0.564782504,13.93897892,13.93897892,0,23088,0.90152812
3,50,diabetes,no_cut,14.06980924,5.728100551,0.592880013,13.93897799,13.93897799,1.82E-11,49224,3.282800913
3,50,diabetes,cut,13.93897902,6.063255531,0.565014373,13.93897899,13.93897549,2.51E-07,48026,3.019603968
3,60,diabetes,original,18.79900718,7.754565541,0.587501326,18.79900718,18.79841414,3.15E-05,578529,17.19680405
3,60,diabetes,no_cut,18.79900722,7.218388109,0.616022909,18.79900565,18.79825969,3.97E-05,2829836,158.258661
3,60,diabetes,cut,26.23473068,19.07310026,0.272982807,21.6944699,21.18354231,0.023551052,5233213,300.010783
3,70,diabetes,original,22.81231592,8.725710495,0.617500015,22.81231592,22.17459284,0.02795521,9061253,300.007283
3,70,diabetes,no_cut,22.81231697,8.101582357,0.644859294,22.81231398,19.6106792,0.140346778,4342747,300.011348
3,70,diabetes,cut,22.82957182,11.78644229,0.483720396,22.81231442,19.35463355,0.151570805,4367096,300.222024
3,80,diabetes,original,26.03178197,9.645263025,0.629481261,26.03178197,22.23857026,0.145714639,2802003,300.3193531
3,80,diabetes,no_cut,26.03178389,10.23831307,0.606699521,26.03178389,10.23831307,0.606699521,1,490.605268
3,80,diabetes,cut,26.08478631,15.60714896,0.401676181,26.03178075,16.09842913,0.38158556,7724,300.4926732
3,90,diabetes,original,28.75031246,10.53315762,0.633633282,28.75031246,23.7527222,0.173827337,5287796,300.0044141
3,90,diabetes,no_cut,28.75031321,11.25425425,0.608551943,28.75031246,21.96366601,0.236054702,1804959,300.399127
3,90,diabetes,cut,33.18747939,23.31708846,0.297413094,30.66216759,25.00463712,0.184511759,940103,300.076237
3,100,diabetes,original,31.3453093,11.3895498,0.63664261,31.3453093,25.0512172,0.20079853,6730439,300.009392
3,100,diabetes,no_cut,31.3453094,12.6056256,0.59784651,31.3453081,23.6764461,0.24465741,2985364,300.052309
3,100,diabetes,cut,32.022464,19.4382308,0.39298142,31.4551718,23.6491851,0.24816227,3880332,300.003351
3,120,diabetes,original,38.11553393,15.1750703,0.601866517,38.11553393,28.90725393,0.24158864,6289417,300.0091438
3,120,diabetes,no_cut,38.17037604,14.97004353,0.607809902,38.11553147,27.50689023,0.278328567,3279573,300.0080159
3,120,diabetes,cut,38.89025691,20.96470378,0.46092658,38.11553258,26.99187277,0.291840598,3770977,300.0032449
3,150,diabetes,original,46.05035671,19.88134148,0.568269544,46.05035671,32.4662541,0.294983657,4241344,300.0515628
3,150,diabetes,no_cut,47.39485347,21.11957375,0.55439099,46.05035427,30.71534256,0.333005293,1623232,300.0279241
3,150,diabetes,cut,46.86449958,24.36206332,0.480159534,46.0503565,30.92334314,0.328488518,2187434,300.009697
3,200,diabetes,original,58.98550987,26.69543479,0.547423853,58.88236078,39.35276007,0.331671496,3343935,300.004813
3,200,diabetes,no_cut,60.41525935,27.68277946,0.541791598,58.88235975,37.27121552,0.367022387,1161123,300.0093329
3,200,diabetes,cut,60.0508357,30.98578807,0.48400738,58.88236019,37.20912871,0.368076813,1479814,300.0062609
,,,,,,,,,,,
