,m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
0,2,50,diabetes,original,18.525737318456294,7.214931878125966,0.6105454938660887,18.525737318456294,18.525737318456294,0.0,178187.0,2.408673048019409
1,2,50,diabetes,no_cut,19.482081846762927,-27.155452895889827,2.3938681250536824,18.525736726192118,18.525736726192118,0.0,300400.0,286.21637988090515
2,2,50,diabetes,cut,19.633583098583046,18.523571542234954,0.05653637192837209,18.52573785225779,18.524022395690796,9.259855562436993e-05,58809.0,63.586583852767944
3,2,60,diabetes,original,22.068208193203674,7.804250304169155,0.646357772418849,22.068208193203674,22.068208193203674,0.0,2214841.0,42.90230107307434
4,2,60,diabetes,no_cut,22.662248895962982,-42.08277656308541,2.8569550072579943,22.068208028211806,18.042367764924258,0.18242714850888433,190605.0,300.0027940273285
5,2,60,diabetes,cut,26.174253844111696,22.067747067646884,0.15689107322494444,22.068208497959276,22.067809563741957,1.8077326818625578e-05,20956.0,11.327852010726929
6,2,70,diabetes,original,25.148714172642983,8.967476264687543,0.6434220770443028,25.14726803770442,25.131681177659836,0.0006198231959517659,12654630.0,300.00814986228943
7,2,70,diabetes,no_cut,27.4873290807257,-58.748962157117305,3.1373106853918546,25.147268037704436,18.967475849505597,0.24574407760450148,143900.0,300.0044720172882
8,2,70,diabetes,cut,31.248240819611357,25.141719372336137,0.19541968722420927,25.148300838211483,25.143643945711997,0.00018517722248696163,141838.0,300.1206488609314
9,2,80,diabetes,original,30.07961477986291,10.19201389647922,0.6611654114898319,30.07961477986291,25.80203724680603,0.1422085210984998,9860804.0,300.00548005104065
10,2,80,diabetes,no_cut,34.12688786087902,-70.57666350110388,3.0680662060020025,30.07961443860337,20.584512278110473,0.31566568713417875,166267.0,300.00457406044006
11,2,80,diabetes,cut,38.38251783116627,30.077641678240212,0.21637132273231355,30.08070833901905,30.077891073489397,9.36568879263812e-05,53517.0,49.14708709716797
12,2,90,diabetes,original,33.3914633136802,11.152361320931869,0.6660116025414544,33.3914633136802,26.85285773931016,0.19581668263370858,9218803.0,300.00250220298767
13,2,90,diabetes,no_cut,35.94695511644535,-88.72867135589544,3.4683223118194793,33.391418926802515,21.3199662997013,0.36151361682362476,123826.0,300.00460600852966
14,2,90,diabetes,cut,36.59294324944026,33.38146835417999,0.08776213690625713,33.39146437207067,33.38580782082471,0.0001694011134981555,174509.0,300.03478813171387
15,2,100,diabetes,original,36.476753722308786,12.747060629699355,0.6505428984514213,36.476753722308786,28.357973214367817,0.22257409663556796,8431772.0,300.0050439834595
16,2,100,diabetes,no_cut,39.96083055076447,-104.2666992345344,3.6092225260953628,36.476749433874424,22.203059748612226,0.39130925608209,91570.0,300.00467705726624
17,2,100,diabetes,cut,48.91306209388103,36.47069051279009,0.25437727773431434,36.47675372467182,36.47096888926023,0.00015858964466137343,146857.0,300.02070593833923
18,2,120,diabetes,original,46.82755341481914,16.42010453384944,0.6493495103535967,46.80938238230788,32.0996726050594,0.31424703827769734,7338300.0,300.0104911327362
19,2,120,diabetes,no_cut,51.85428260788671,-119.86619633165228,3.3115968499277124,46.8093822717139,25.24569821739327,0.4606701265389523,73468.0,300.0046498775482
20,2,120,diabetes,cut,52.14292752374717,46.80154796487109,0.10243727793080822,46.80938238432188,46.80307677674311,0.00013470819860419804,145703.0,300.03482389450073
21,2,150,diabetes,original,59.41011756530264,21.96962892606572,0.6302039143094261,59.391605949338086,36.80819223413214,0.38024588414850957,5899631.0,300.0037188529968
22,2,150,diabetes,no_cut,60.396352969161896,-156.2203690760321,3.586586133036833,59.39160593680726,29.712823997609057,0.49971341018756865,49023.0,300.0152590274811
23,2,150,diabetes,cut,69.03994983596823,59.3760333795902,0.13997571665881128,59.39160596539527,59.380687699646295,0.00018383516612327966,126207.0,300.0149939060211
24,2,200,diabetes,original,78.41526551201454,29.4470115996497,0.6244734822056055,78.20528109713318,43.68353891230346,0.4414246928152171,4195333.0,300.0064618587494
25,2,200,diabetes,no_cut,86.12954290073218,-232.160521908719,3.6954807153254428,78.20528068053468,36.448524585427066,0.5339378074184303,31307.0,300.0057671070099
26,2,200,diabetes,cut,96.60295591468599,78.19390013197734,0.19056410446660074,78.34865941699954,78.19499782297036,0.0019612536471279238,103122.0,300.022353887558
27,3,50,diabetes,original,13.938978924157011,6.0664875061186505,0.5647825038600857,13.938978924157011,13.938978924157011,0.0,23907.0,0.5843000411987305
28,3,50,diabetes,no_cut,14.069808786412986,5.72721760076049,0.592942755107576,13.93897889398724,13.937604218657277,9.862094924010616e-05,70062.0,3.4269070625305176
