m,n,dataset,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,node_count,time
2,50,autompg,original,13.47703997,7.73248422,0.426247586,13.47703997,13.47703997,0,987,0.143678904
2,50,autompg,opt,13.47703997,8.019423533,0.404956611,13.47703997,13.47703997,0,185,0.204819918
2,50,autompg,opt_cut,39.4777625,13.47586645,0.658646651,13.47704594,13.47601777,7.63E-05,1,0.427783012
2,60,autompg,original,15.88243354,7.1597826,0.549201161,15.88243354,15.88243354,0,29340,1.159530163
2,60,autompg,opt,15.88243354,7.18460547,0.547638248,15.88243354,15.88243354,0,424,0.269396067
2,60,autompg,opt_cut,15.88243379,15.86948506,0.000815287,15.88243379,15.88126669,7.35E-05,1,0.537510872
2,70,autompg,original,17.97236364,7.346020708,0.591260178,17.97236364,17.97236364,0,78473,3.126955986
2,70,autompg,opt,17.97236364,8.413208918,0.531880776,17.97236364,17.97236364,0,548,0.328984976
2,70,autompg,opt_cut,17.9723645,17.96946345,0.000161417,17.9723645,17.97077353,8.85E-05,19,1.467073917
2,80,autompg,original,20.92944714,8.515050121,0.59315456,20.92944714,20.92944714,0,476643,15.95105314
2,80,autompg,opt,20.92944714,8.674372962,0.585542183,20.92944714,20.92944714,0,841,0.367925167
2,80,autompg,opt_cut,33.40839509,20.91892624,0.373842228,20.92944748,20.92776546,8.04E-05,1,3.429425955
2,90,autompg,original,24.14376394,10.26128445,0.574992347,24.14376394,24.14376394,0,2228170,81.51093411
2,90,autompg,opt,24.14376394,10.26128445,0.574992347,24.14376394,24.14376394,0,918,0.468859911
2,90,autompg,opt_cut,24.14376419,24.1388921,0.000201795,24.14376419,24.14194626,7.53E-05,1,1.659183979
2,100,autompg,original,25.33077426,10.41208512,0.588955118,25.33077426,25.33077426,0,3689803,142.3901589
2,100,autompg,opt,25.33077426,11.04800236,0.563850586,25.33077426,25.33077426,0,2899,1.223505974
2,100,autompg,opt_cut,50.46755236,25.32172832,0.498257254,25.33077615,25.3288418,7.64E-05,1,0.92740202
2,120,autompg,original,33.52173088,12.74357603,0.619841348,33.52173088,28.55984215,0.148020063,6562358,300.003432
2,120,autompg,opt,33.52173088,13.55802622,0.595545162,33.52173088,33.52173088,0,6372,1.85859704
2,120,autompg,opt_cut,39.49707406,33.52011857,0.151326538,33.52173143,33.52045757,3.80E-05,1,0.787282944
2,150,autompg,original,48.24568453,19.00405564,0.606098331,48.24568453,33.86995655,0.297969199,5989982,300.006846
2,150,autompg,opt,48.24568453,19.76397356,0.590347328,48.24568453,48.24568453,0,3739,2.486140966
2,150,autompg,opt_cut,48.24568614,48.23875607,0.000143641,48.24568614,48.24257902,6.44E-05,1,0.988785982
2,200,autompg,original,72.39194156,27.38980397,0.621645678,72.31378136,40.79307889,0.435887902,4440447,300.007618
2,200,autompg,opt,72.33435831,29.24930242,0.595637494,72.31378136,72.31378136,0,3168,3.767726898
2,200,autompg,opt_cut,72.32030408,72.31278466,0.000103974,72.31380568,72.31278466,1.41E-05,1,23.89289808
3,50,autompg,original,9.0480644,4.837057685,0.465404149,9.0480644,9.0480644,0,165,0.081412077
3,50,autompg,opt,9.0480644,5.442535797,0.398486178,9.0480644,9.048020312,4.87E-06,89,0.247978926
3,50,autompg,opt_cut,11.54634214,6.227368719,0.46066307,9.048063272,9.047160852,9.97E-05,567,0.45282197
3,60,autompg,original,10.50262184,4.837978606,0.539355156,10.50262184,10.50262184,0,1760,0.389809847
3,60,autompg,opt,10.50262184,5.262846707,0.498901628,10.50262184,10.50262184,0,1392,0.347356081
3,60,autompg,opt_cut,10.92600397,5.66032646,0.481939923,10.50261713,10.50261713,0,2880,0.5793612
3,70,autompg,original,12.29504537,5.264428541,0.571825204,12.29504537,12.29504537,0,4376,0.315652132
3,70,autompg,opt,12.29504537,7.416316027,0.396804501,12.29504537,12.29504537,0,1823,0.45075202
3,70,autompg,opt_cut,12.29503936,7.201421951,0.414282318,12.29503879,12.2949165,9.95E-06,1920,1.524638891
3,80,autompg,original,16.61570097,6.89998554,0.584730999,16.61570097,16.61570097,0,41269,1.89972496
3,80,autompg,opt,16.72534093,8.784054268,0.474805667,16.61570097,16.61570097,0,8072,1.420858145
3,80,autompg,opt_cut,17.03465179,8.891666277,0.478024771,16.6156921,16.6156921,-1.85E-10,4829,3.155773163
3,90,autompg,original,18.84914609,7.921447466,0.579745022,18.84914609,18.84914609,0,116639,4.925281048
3,90,autompg,opt,18.87278222,8.519985067,0.548557019,18.84914609,18.84914609,0,11994,4.632342815
3,90,autompg,opt_cut,36.25736544,9.639999674,0.734122997,18.84914394,18.84914394,-1.81E-11,7391,5.013493061
3,100,autompg,original,19.46279522,8.411584518,0.567812104,19.46279522,19.46279522,0,128209,5.740149975
3,100,autompg,opt,19.48535794,8.659254736,0.555601967,19.46279522,19.46279522,0,12569,5.100596905
3,100,autompg,opt_cut,29.90722989,10.05376077,0.663835106,19.46278742,19.46210998,3.48E-05,4453,5.723417044
3,120,autompg,original,26.38198859,10.61879705,0.597498232,26.38198859,26.38158321,1.54E-05,4033743,182.1389871
3,120,autompg,opt,26.44886408,11.63177625,0.560216416,26.38198859,26.38198859,0,31225,14.87244701
3,120,autompg,opt_cut,277460.9944,13.56483198,0.999951111,26.38197915,26.38123645,2.82E-05,49025,36.23499608
3,150,autompg,original,38.0538048,15.92968179,0.581390563,38.0538048,30.7163842,0.192817003,5082344,300.0293622
3,200,autompg,original,58.52794227,24.03981807,0.589259128,58.52045061,38.07059705,0.349447985,3820941,300.0049429
3,200,autompg,opt,58.52045061,25.33255769,0.567116155,58.52045061,58.52045061,0,148407,105.0419412
3,200,autompg,opt_cut,246099.0166,29.67820242,0.999879405,58.52044317,58.52044317,0,82905,90.74786305
2,50,diabetes,original,18.52573732,7.161839443,0.613411368,18.52573732,18.52573732,0,175326,3.872641087
2,50,diabetes,opt,18.52573732,8.417017529,0.545658163,18.52573732,18.52573732,0,3953,0.451626062
2,50,diabetes,opt_cut,19.16884106,18.52497216,0.03358935,18.52573839,18.52525802,2.59E-05,1018,1.569299936
2,60,diabetes,original,22.06820819,8.623957193,0.609213529,22.06820819,22.06812422,3.81E-06,2200400,51.41216993
2,60,diabetes,opt,22.06820819,9.07515384,0.58876798,22.06820819,22.06820819,0,3261,0.524590969
2,60,diabetes,opt_cut,31.11991422,22.06762302,0.290884195,22.06820831,22.06765365,2.51E-05,1,1.399760008
2,70,diabetes,original,25.14878019,9.122813367,0.637246288,25.14726804,24.64467954,0.019985809,11280078,300.0065529
2,70,diabetes,opt,25.14726804,10.10900213,0.598007938,25.14726804,25.14726804,0,3459,0.884182215
2,70,diabetes,opt_cut,25.14726875,25.14161496,0.000224827,25.14726875,25.1460748,4.75E-05,202,1.423506021
2,80,diabetes,original,30.09988587,10.12315082,0.663681422,30.07961478,25.84961346,0.140626845,10210416,300.007493
2,80,diabetes,opt,30.07961478,11.45574048,0.619152686,30.07961478,30.07961478,0,3410,0.999763012
2,80,diabetes,opt_cut,30.58060811,30.07877911,0.01641004,30.07962347,30.07877911,2.81E-05,1,0.78843689
2,90,diabetes,original,33.39565008,11.17993806,0.665227716,33.39146331,26.80195764,0.197341027,8594053,300.0080931
2,90,diabetes,opt,33.39146331,12.4532559,0.627052706,33.39146331,33.39146331,0,11158,2.062165976
2,90,diabetes,opt_cut,33.84071735,33.39026129,0.013311067,33.3914675,33.39027373,3.58E-05,1671,3.321698904
2,100,diabetes,original,36.47675372,12.5723774,0.65533179,36.47675372,28.28980633,0.224442873,7903825,300.0076339
2,100,diabetes,opt,36.47675372,14.03879488,0.615130365,36.47675372,36.47675372,0,5681,2.645228863
2,100,diabetes,opt_cut,37.67244542,36.4759566,0.031760317,36.47677214,36.4759566,2.24E-05,643,3.19978404
2,120,diabetes,original,46.80938238,16.13718889,0.655257385,46.80938238,31.88313725,0.318872935,6236067,300.0066361
