n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.2,0,original,0.30328316059471044,0.2594429385318826,0.14455211419210082,0.27699122870626225,0.2769859744043575,1.896919959983822e-05,12,797.0,0.25719714164733887
100,0.2,0,opt,inf,-inf,,0.2769912275744332,0.2769912275744335,-1.2024456886384429e-15,12,1.0,0.02662515640258789
100,0.2,0,tree,,,,0.27699122757429007,,,12,0.0,0.12495088577270508
100,0.2,1,original,0.405183635278124,0.27085909453586493,0.33151521692147495,0.2902659477780735,0.29024617682925813,6.811322157053635e-05,10,1098.0,0.26942992210388184
100,0.2,1,opt,inf,-inf,,0.29026553411129685,0.29026553411129685,0.0,10,0.0,0.017991065979003906
100,0.2,1,tree,,,,0.290265534111297,,,10,0.0,0.05260300636291504
100,0.2,2,original,0.30816375054282485,0.28296860862049333,0.0817589410758103,0.3060880710788603,0.30608744578666,2.0428506022707635e-06,8,1646.0,0.4550950527191162
100,0.2,2,opt,inf,-inf,,0.3060880374755364,0.3060880374755364,0.0,8,0.0,0.017113924026489258
100,0.2,2,tree,,,,0.30608803747553637,,,8,0.0,0.05226421356201172
100,0.2,3,original,0.2983793176406735,0.2716755444560439,0.08949605956532108,0.2934127271927508,0.29341229194627527,1.4833933063904935e-06,13,2349.0,0.4537520408630371
100,0.2,3,opt,inf,-inf,,0.29341272087605225,0.29341272087605225,0.0,13,0.0,0.01553797721862793
100,0.2,3,tree,,,,0.2934127208760522,,,13,0.0,0.05307412147521973
100,0.2,4,original,0.27348556073498,0.25915469359208193,0.05240081817988672,0.27281454711803677,0.2728140858326903,1.6908385251034465e-06,11,524.0,0.22275185585021973
100,0.2,4,opt,inf,-inf,,0.2728144351938825,0.2728144351938825,0.0,11,0.0,0.015217781066894531
100,0.2,4,tree,,,,0.2728144351938825,,,11,0.0,0.052809715270996094
200,0.2,0,original,0.3172961891743983,0.31254556078343043,0.014972220130752086,0.31705765337913805,0.31705722853745194,1.3399508940430516e-06,18,355.0,0.36565589904785156
200,0.2,0,opt,inf,-inf,,0.31705761388920545,0.31705761388920545,0.0,18,0.0,0.032972097396850586
200,0.2,0,tree,,,,0.3170576138892054,,,18,0.0,0.1346285343170166
200,0.2,1,original,0.313639588484348,0.3002366846238359,0.04273345697614617,0.3101870132110874,0.3101862035263542,2.610311517633013e-06,18,1371.0,0.7656810283660889
200,0.2,1,opt,inf,-inf,,0.31018700040934044,0.3101870004093399,1.7896027608507818e-15,18,1.0,0.04379701614379883
200,0.2,1,tree,,,,0.310187000408479,,,18,0.0,0.13358068466186523
200,0.2,2,original,0.3133706311560674,0.3064897206465178,0.021957738937324667,0.31337063115606734,0.3133675817816033,9.730887839739512e-06,14,1220.0,0.4689180850982666
200,0.2,2,opt,inf,-inf,,0.31337063115606734,0.31337063115606734,0.0,14,0.0,0.030179977416992188
200,0.2,2,tree,,,,0.31337063115606734,,,14,0.0,0.13515472412109375
200,0.2,3,original,0.31460360345886057,0.30686713305407154,0.024591169076678097,0.31426702222796477,0.3142667296230518,9.310710073602562e-07,16,2219.0,0.6331930160522461
200,0.2,3,opt,inf,-inf,,0.31426699478007236,0.31426699478007236,0.0,16,0.0,0.03321695327758789
200,0.2,3,tree,,,,0.3142669947800723,,,16,0.0,0.1337447166442871
200,0.2,4,original,0.30077534732884675,0.29645636102237827,0.014359508998410061,0.30001033775295916,0.30000978074682305,1.8566231426412635e-06,17,163.0,0.31392598152160645
200,0.2,4,opt,inf,-inf,,0.30001033462173843,0.3000103346217389,-1.6652771702389213e-15,17,1.0,0.040403127670288086
200,0.2,4,tree,,,,0.3000103346210128,,,17,0.0,0.1317729949951172
300,0.2,0,original,0.3491307351177325,0.3360857334950051,0.03736423153443778,0.3427191168363599,0.3427185328696691,1.7039221395862913e-06,26,1298.0,1.016373872756958
300,0.2,0,opt,inf,-inf,,0.34271910951255125,0.34271910951255125,0.0,26,0.0,0.04321098327636719
300,0.2,0,tree,,,,0.3427191095125513,,,26,0.0,0.24129247665405273
