n,tau,rep,formulation,root_ub,root_lb,root_gap,end_ub,end_lb,end_gap,nnz,node_count,time
100,0.2,0,original,0.30328316059471044,0.2594429385318826,0.14455211419210082,0.27699122870626225,0.2769859744043575,1.896919959983822e-05,12,797.0,0.27068090438842773
100,0.2,0,opt,inf,-inf,,0.2769912275744332,0.2769912275744335,-1.2024456886384429e-15,12,1.0,0.029145002365112305
100,0.2,1,original,0.405183635278124,0.27085909453586493,0.33151521692147495,0.2902659477780735,0.29024617682925813,6.811322157053635e-05,10,1098.0,0.2771179676055908
100,0.2,1,opt,inf,-inf,,0.29026553411129685,0.29026553411129685,0.0,10,0.0,0.019674062728881836
100,0.2,2,original,0.30816375054282485,0.28296860862049333,0.0817589410758103,0.3060880710788603,0.30608744578666,2.0428506022707635e-06,8,1646.0,0.48558807373046875
100,0.2,2,opt,inf,-inf,,0.3060880374755364,0.3060880374755364,0.0,8,0.0,0.018976926803588867
100,0.2,3,original,0.2983793176406735,0.2716755444560439,0.08949605956532108,0.2934127271927508,0.29341229194627527,1.4833933063904935e-06,13,2349.0,0.48575782775878906
100,0.2,3,opt,inf,-inf,,0.29341272087605225,0.29341272087605225,0.0,13,0.0,0.017521142959594727
100,0.2,4,original,0.27348556073498,0.25915469359208193,0.05240081817988672,0.27281454711803677,0.2728140858326903,1.6908385251034465e-06,11,524.0,0.23556017875671387
100,0.2,4,opt,inf,-inf,,0.2728144351938825,0.2728144351938825,0.0,11,0.0,0.017477035522460938
200,0.2,0,original,0.3172961891743983,0.31254556078343043,0.014972220130752086,0.31705765337913805,0.31705722853745194,1.3399508940430516e-06,18,355.0,0.4101738929748535
200,0.2,0,opt,inf,-inf,,0.31705761388920545,0.31705761388920545,0.0,18,0.0,0.04166388511657715
200,0.2,1,original,0.313639588484348,0.3002366846238359,0.04273345697614617,0.3101870132110874,0.3101862035263542,2.610311517633013e-06,18,1371.0,0.821768045425415
200,0.2,1,opt,inf,-inf,,0.31018700040934044,0.3101870004093399,1.7896027608507818e-15,18,1.0,0.04831194877624512
200,0.2,2,original,0.3133706311560674,0.3064897206465178,0.021957738937324667,0.31337063115606734,0.3133675817816033,9.730887839739512e-06,14,1220.0,0.5172460079193115
200,0.2,2,opt,inf,-inf,,0.31337063115606734,0.31337063115606734,0.0,14,0.0,0.03934812545776367
200,0.2,3,original,0.31460360345886057,0.30686713305407154,0.024591169076678097,0.31426702222796477,0.3142667296230518,9.310710073602562e-07,16,2219.0,0.7157330513000488
200,0.2,3,opt,inf,-inf,,0.31426699478007236,0.31426699478007236,0.0,16,0.0,0.04065680503845215
200,0.2,4,original,0.30077534732884675,0.29645636102237827,0.014359508998410061,0.30001033775295916,0.30000978074682305,1.8566231426412635e-06,17,163.0,0.35297393798828125
200,0.2,4,opt,inf,-inf,,0.30001033462173843,0.3000103346217389,-1.6652771702389213e-15,17,1.0,0.04839611053466797
300,0.2,0,original,0.3491307351177325,0.3360857334950051,0.03736423153443778,0.3427191168363599,0.3427185328696691,1.7039221395862913e-06,26,1298.0,1.047881841659546
300,0.2,0,opt,inf,-inf,,0.34271910951255125,0.34271910951255125,0.0,26,0.0,0.04453015327453613
300,0.2,1,original,0.35123432643768987,0.32420652473786904,0.07695091187112559,0.3302436125301491,0.3302398313850505,1.1449563156321799e-05,31,267.0,0.5775580406188965
300,0.2,1,opt,inf,-inf,,0.330243602580491,0.330243602580491,0.0,31,0.0,0.06137800216674805
300,0.2,2,original,0.3308512255849725,0.3151370714100019,0.047496134092254436,0.32136186517692533,0.32135889198079787,9.251863552098625e-06,27,661.0,0.7028529644012451
300,0.2,2,opt,inf,-inf,,0.32136157101578533,0.32136157101578533,0.0,27,0.0,0.05796480178833008
300,0.2,3,original,0.3418342384608952,0.33655245251195687,0.015451307548124895,0.34183423846089517,0.34181646601674975,5.199141029709123e-05,24,754.0,0.7046651840209961
300,0.2,3,opt,inf,-inf,,0.3418342384608952,0.3418342384608952,0.0,24,0.0,0.05417585372924805
300,0.2,4,original,0.35565540245389876,0.3386885343839277,0.04770591969897141,0.34415540589909194,0.3441546739037976,2.1269324316167225e-06,27,670.0,0.6586618423461914
300,0.2,4,opt,inf,-inf,,0.34415536034631694,0.34415536034631694,0.0,27,0.0,0.05153298377990723
500,0.2,0,original,0.3609272222882789,0.35740148197930516,0.009768562998990595,0.3609272222882789,0.36091487324825844,3.42147647998427e-05,47,472.0,1.1174280643463135
500,0.2,0,opt,inf,-inf,,0.36092722228827884,0.3609272222882789,-1.5380150845734797e-16,47,0.0,0.09081292152404785
500,0.2,1,original,0.36478500242423995,0.36321262602684,0.004310419526434589,0.36478500242423995,0.36474928588327965,9.791120995363094e-05,46,815.0,1.710279941558838
500,0.2,1,opt,inf,-inf,,0.3647850024242399,0.3647850024242399,0.0,46,0.0,0.07489395141601562
500,0.2,2,original,0.3862884984427425,0.3723054747798017,0.03619839503198003,0.37692235784617023,0.3769215699582835,2.0903187892935905e-06,44,25983.0,7.92220401763916
500,0.2,2,opt,inf,-inf,,0.37692235443546496,0.37692235443546496,0.0,44,0.0,0.0786280632019043
500,0.2,3,original,0.36368874406414997,0.36038688370047045,0.009078808232506407,0.363683889351683,0.3636557629941881,7.733737544718676e-05,48,1915.0,1.670443058013916
500,0.2,3,opt,inf,-inf,,0.3636838787251107,0.3636838787251107,0.0,48,0.0,0.09436511993408203
500,0.2,4,original,0.3684931069664802,0.36085784567383017,0.02072022827103943,0.36843516091616996,0.3684342522023558,2.466414475428835e-06,48,8525.0,3.5709729194641113
500,0.2,4,opt,inf,-inf,,0.36843514109227193,0.36843514109227193,0.0,48,0.0,0.10257506370544434
1000,0.2,0,original,0.41312201369036067,0.39378785391279497,0.046800119908538336,0.3960021561874678,0.39596342292168935,9.781074464688379e-05,87,1712.0,4.3266050815582275
1000,0.2,0,opt,inf,-inf,,0.39600202025112435,0.3960020202511218,6.4482321454283285e-15,88,1.0,0.22179198265075684
1000,0.2,1,original,0.41263227429364446,0.40052021307058744,0.029353160132204376,0.40262183367644955,0.40258886391835397,8.188765570541538e-05,85,26811.0,15.105769872665405
